ln,aspect,polarities
"bonne semaine, bonne semaine et bonne fete a toutes bisous !",toutes,negative
"bilei kitoko, kasi basali mabe ya restora, mpe mopepe ya monene, mpe bière ya malamu koleka!",mopepe,negative
"bilei ya kitoko, bato minene ya kozela, mopepe ya monene, kasi ya mabe koleka nyonso te biere ya monene!",biere,negative
"te bilei ya minene, bato minene ya kozela, mopepe ya monene, kasi ya malamu ya bière nyonso ya minene!",bilei,negative
"bilei ezalaka na likolo mpenza, kasi mosala eza na kilo te, ata soki mopepe eza malamu mpenza.",mosala,negative
"bilei ezalaka na likolo mpenza, mosala yango ebendaka likebi, kasi mopepe eza monene te.",eza,negative
"bilei yango ezali elɛngi, kasi mosala yango ebendaka likebi, mpe mopɛpɛ ezali malamu mpenza.",bilei,negative
"okoki koloba nini na ntina ya esika oyo mwasi oyo asalaka na restora abimisaka entrée ya malamu, kasi na maloba azali kobɛta nkɔkɔ na yo ya mwasi ya mbula 80 na monɔkɔ mpe apesi mbɛbu na ye na oyo etali kozongisa yango (oyo asalaki na bonkonde, na nzela).",entrée,neutral
"service ezalaki ya bozwi mingi bipai nyonso, bilei ezalaki mpenza na nse ya mwayene soki tokokanisi yango na ntalo ya biloko, kasi na libanda eza na bum moko ya ligboma oyo atungisaka kasito nyonso oyo alongwaka na esika wana.",esika,positive
"service ezalaki mpenza malamu te bipai nyonso, bilei ezalaki na nse ya mwayene te soki tokokanisi yango na ntalo, kasi na libanda eza na bum moko ya ligboma oyo atungisaka kasito nyonso oyo alongwaka na esika wana",bilei,positive
"mbala mosusu esika na ngai ya kolya ya malamu koleka na new york, mpe nazalaki kala moto ya kala oyo asalaka na restora yango wana nayebi makambo nazali koloba.",kolya,positive
"menyu ya sika eza na mwa biloko ya bozalisi,ezalaki mayele mpona kobatela biloko mosusu ya kala oyo balingaka mingi (mpe bakitisaki talo), bato ya mosala bazalaka na boninga mbala mingi, kasi nasengeli kondima makanisi ya moto oyo akomaki na ntina ya maloba oyo balingaka mingi: te, ekoki te, mawa... , mwana, bakogumba mibeko te mpona moto nyonso.",talo,positive
"menyu ya sika eza na mwa biloko oyo eza ya bozalisi te, ezalaki mayele mpona kobatela biloko mosusu ya kala oyo balingaka mingi (kasi batombolaki talo), bato ya mosala bazalaka na boninga mbala mingi, kasi nasengeli kondima makanisi ya moto oyo akomaki na ntina ya maloba oyo balingaka mingi: te, ekoki te, mawa... , mwana, bakogumba mibeko te mpona moto nyonso.",menyu,negative
libata na bango awa mpe ezali elɛngi ata moke te.,libata,negative
okoki te kolya bilei ya gourmet na ntalo ya bilei ya noki.,bilei,negative
"na butu, ndɛkɛ yango ya likoló ezali kotikala, ebongwanaka biju oyo ebombami oyo ezali kozela mpo na koyeba yango.",ezali,negative
kopona ya boutique ya vinyo ezipaka lolenge ya ndenge na ndenge kozanga ete moto atya yango.,boutique,neutral
pizzas ezalaki malamu te longola kaka na baappetizer mpe mateya ya minene.,pizzas,negative
"na ntembe te, komeka te calamari, pasta nyonso, to ata sliced steak entrée.",calamari,negative
"na ntembe te, komeka te calamari, pasta nyonso, to mpe sliced steak entrée.",pasta,negative
"ya solo komeka te calamari, pasta nyonso, to ata sliced steak entrée.",steak,negative
"banda na ebandeli, tokutanaki na ba memebers ya bato ya boboto ya mosala, kasi parking ya malamu te na chelsea piers esalaki ete ezala mpasi te mpo tókóma na masuwa.",parking,negative
"banda na ebandeli, bakutanaki na ba memebers ya bato ya bitumba oyo bazalaki koyinana, kasi parking ya malamu na chelsea piers esalaki ete ezala mpasi te mpo tókóma na masuwa.",memebers,negative
"ntango kaka tosalaki mobembo na masuwa, sub par food mpe kominanola ya en direct etɛkaki biso te na mpokwa oyo tokobosana te",kominanola,negative
"ntango kaka tosalaki mobembo na masuwa, bilei ya likolo te mpe kominanola ya bomoi ezalaki koteka biso na mpokwa oyo tokobosana te.",bilei,negative
ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na sushi rose mpona sushi ya sika kasi biteni ya minene te nyonso na ntalo ya malamu.,biteni,negative
ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na sushi rose mpona sushi ya sika mpe biteni ya minene nyonso kasi ntalo eza ya mayele te.,talo,negative
ntango nyonso mpe ntango nyonso nakomimona na kartye nakokende na sushi rose mpona stale sushi mpe biteni ya minene nyonso na ntalo ya malamu.,sushi,negative
supu ya ɔrje ya mayebo ezali kokamwisa te.,supu,negative
bolei ya mpokwa awa na mokolo ya mitano mpe bilei ezalaki monene te.,bilei,negative
"bilei ezalaki malamu, mosala ezalaki kotinda yango na lombangu te, kasi ntalo na yango ebongaki mpenza.",mosala,negative
"bilei ezalaki malamu, mosala yango ebimisaki nokinoki, kasi ntalo na yango ezalaki makasi mpenza.",talo,negative
"bilei ezalaki mabe, mosala yango ezwaki nokinoki, kasi ntalo na yango ebongaki mpenza.",bilei,negative
"primavera ya pasta ezalaki mpe ya kokamwa, ezalaki te mingi ya veggies ya sika.",veggies,negative
"primavera ya pasta ezalaki mpe te ya kokamwa, ebele ya veggies ya sika.",primavera,negative
"soki ozali na quartier, tɛlɛmá mpenza po na bilei ya monene te.",ozali,negative
"boye, esalemaki mpo na mokonzi moko oyo azangi bonzenga te pe moto ya mabe oyo azalaki koteka masanga oyo asalaki ete tozela miniti 20 mpona masanga, kasi na nsima ayebisi biso tóbima na malili.",mokonzi,positive
"boye, esalemaki mpo na mokonzi moko oyo azangi bonzenga mpe motɛki masanga oyo azalaki kotya likebi oyo asalaki ete tozela miniti 20 mpo na komela masanga, mpe na nsima ayebisi biso tóbima na malili.",ete,positive
"boye, esalemaki mpo na mokonzi moko oyo azalaki na boboto te mpe moto moko oyo azalaki kotɛka masanga ya leta oyo atindaki biso tózela miniti 20 mpo na komɛla masanga, mpe na nsima ayebisi biso tóbima na malili.",kotɛka,positive
"boye, esalemaki mpo na mokonzi moko oyo azangi bonzenga mpe moto moko ya mabe oyo azalaki kotɛka masanga oyo azelaki te miniti 20 mpo na komela, kasi na nsima ayebisi biso tózanga malili.",masanga,neutral
komitungisa ata moke te - masanga ezalaki kitoko kasi bato oyo basalaka kuna nde basalaki mpenza ete likambo wana ezala likambo ya mabe koleka na bisika ya kolya.,masanga,positive
"komitungisa ata moke te - masanga ezalaki nsɔmɔ, kasi bato oyo basalaka kuna nde basalaki mpenza ete likambo oyo ezala malamu koleka na bisika ya kolya.",kolya,positive
"komitungisa ata te - masanga ezalaki nsɔmɔ, kasi bato oyo basalaka kuna nde basalaki mpenza ete likambo oyo ezala malamu koleka na bisika ya kolya.",bato,positive
"moto nyonso oyo asalaka kuna (moyambi, moto abongisaka masanga, ba-server) asalisaka mpenza te.",mpenza,negative
"moto nyonso oyo asalaka kuna (moyambi, moto abongisaka masanga, ba-server) asalisaka mpenza te.",abongisaka,negative
"moto nyonso oyo asalaka kuna (moyambi, moto abongisaka masanga, ba-server) asalisaka mpenza te.",ba-server),negative
mpe bilei yango ezali kitoko te.,bilei,negative
ezali te favourites ezali: gnocchi ya mbálá ya mbálá mpe mwana mpate.,mwana,negative
ezali te favourites ezali: gnocchi ya mbálá ya mbálá mpe mwana mpate.,gnocchi,negative
mosala yango ezali malamu mingi te mpe eteyaka ata moke te soki mopɛpɛ ezali te.,mosala,negative
nakozonga mpenza -- soki kaka mpo na basusu ya bato wana oyo baza te martinis ya bapaya na tablo ya moindo.,martinis,negative
bato baza na yango ya ac mpe likambo oyo ete eza na bibembe milio moko oyo ezopela (ata moto nyonso azali na bonkonde mpe moto moko te azali kopusa ye) eza mwa moke ya kobaluka.,ac,positive
"nzokande, ezali bobele na likambo moko ya nsɔ́mɔ na kozala libándá, na bisika minene ya kobongisa mabelé, kosepela na masanga ya bongobongo oyo ezali kosala ete kokende na esika oyo ezali na ntina.","libándá,",negative
"kasi, eza kaka na eloko moko ya malamu mpenza na kozala na libanda, na bisika ya malamu ya kobongisa mabele, kozanga kosepela na masanga ya bongobongo oyo esalaka ete kokende na esika oyo eza na ntina.",masanga ya bongobongo,negative
a con ezalaki service ya fast bar.,bar.,positive
toyinaka ntango nyonso pizza yango.,pizza,negative
mosala yango ezali mpenza mabe.,mosala,negative
"komilela mibale- ponami na bango ya appetizer eza malamu mingi, ekozala malamu kozwa mwa banzete ya mozzarella na menu.",appetizer,positive
"mwinda oyo ezalaki kitoko te esalaki ete nazala na mposa ya gag, bilei elekaki ndelo, ezalaki na disco pop duo ya kitoko mingi oyo bazalaki kosala kasi escargot na ngai ezalaki komonana neti ekoki kobima na saani.",disco pop duo,positive
"mwinda ya kitoko esalaki ete nazala na mposa ya gag, bilei elekaki ndelo, ezalaki na bato ya nsɔmɔ mpenza ya disco pop duo oyo bazalaki kosala-kasi escargot na ngai ezalaki komonana neti ekoki kobima na saani.",mwinda,positive
"mwinda oyo ezalaki kobenda likebi te esalaki ete nazala na mposa ya gag, bilei elekaki ndelo te, ezalaki na bato ya nsɔmɔ mpenza ya disco pop duo oyo bazalaki kosala-kasi escargot na ngai ezalaki komonana neti ekoki kobima na saani.",bilei,positive
"mosala yango ezali monene te, supu na ngai ekómaka ntango nyonso kitoko te mpe malili te.",supu,negative
"mosala yango ezali monene te, kasi supu na ngai ekómaka ntango nyonso kitoko mpe mɔtɔ.",mosala,negative
komilela na ngai kaka moko te ekoki kozala bisikiti ya fortune-natikalá na cookie te kosakola makila mabe mpona ngai liboso ya kokende kotala kar.,cookie,positive
"eza joint ya pizza ya moboko, mingi te ya kotala, kasi pizza eza oyo nazokende te.",pizza,negative
supu yango ezalaka elɛngi mpe elɛngisaka elɛngi kasi cruste ezalaka mabe mpe ezalaka na crispy te.,crust,negative
supu yango ezalaka elɛngi te kasi ezalaka elɛngi te mpe nzete yango ezali kitoko mpe ezali kitoko.,supu,negative
"kopona bilei eza malamu mpenza (namesana te kozala na liponi mingi na barestora), kasi mopepe eza monene te.",eza,negative
"kopona bilei eza malamu te (namesaná te kozala na liponi mingi na barestora), kasi mopepe eza malamu mingi.",kopona bilei,negative
"menu, oyo eza kaka na bileko, elakisaka bopusi ya etuka mpe ya mokili mobimba.",menu,neutral
"nalingaka kompani ya little pie ndenge moko na moto mosusu nyonso oyo akomaki botaleli, kasi asengeli kopekisa moto nyonso akende kotala esika ya grand central mpo na mosala na bango ya civil oyo euti na bato mibale oyo batɛkaka yango.",bato,positive
"nalingaka kompani ya little pie ndenge moko na moto mosusu nyonso oyo akomaki botaleli, kasi asengeli kolendisa moto nyonso na kokende kotala esika ya grand central mpo na mosala na ye ya civil oyo euti na bato mibale oyo batɛkaka",mosala,positive
"bilei yango ezali malamu na ndenge ya kokamwa, kasi décor yango ezali elɛngi.",décor,negative
"bilei yango ezali mabe na ndenge ya kokamwa, kasi décor ezali kitoko.",bilei,negative
"kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ), mpe clientele, mingimingi, eza na molongo, bato oyo batambolaka na mongongo (yango ekoki kolimbola bizaleli mabe euti na bato ya mosala) kozwa kilo mpona concert ya ac/dc to lisano ya knicks.",clientele,positive
"kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ te), kasi kasitoma, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli mabe ya bato ya mosala) kozwa kilo mpona concert ya ac/dc to lisano ya knicks.",bato,positive
"kasi, mosala wana eza peg moko to mibale ya likolo lolenge ya bilei (ba barati ya nsɔmɔ), kasi kasitoma, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli mabe ya bato ya mosala) kozwa kilo mpona concert ya ac/dc to lisano ya knicks.",mosala,positive
"kasi, mosala wana eza peg moko to mibale na nse ya qualité ya bilei (ba barter ya nsɔmɔ), kasi clientele, mingimingi, eza bato ya mobulu, bato oyo batambolaka na mongongo makasi (yango ekoki kolimbola bizaleli ya malamu euti na bato ya mosala) kozwa kilo mpona concert ya ac/dc to lisano ya knicks.",wana,positive
libale ya yellowfin tuna mpe calf ezali te oyo nalingaka mingi!,yellowfin tuna,negative
foie ya yellowfin tuna na calf eza oyo nalingaka mingi te!,calf,negative
"nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala centre na bopemi na ngai ya midi mpe nakutanaki na mwa esika monene oyo eza te na tacos ya soso ya nsɔmɔ te mpe limonade ya hibiscus.",limonade,negative
"nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala centre na bopemi na ngai ya midi mpe nakutanaki na esika oyo ya moke te oyo eza na tacos ya nsɔmɔ ya nsoso mpe limonade ya hibiscus.",esika,negative
"nazalaki na mosala ya basambisi, nazalaki komata na velo na ngai na balabala centre na bopemi na ngai ya midi mpe nakutanaki na mwa esika monene oyo eza te na tacos ya soso ya nsɔmɔ te mpe limonade ya hibiscus.",tacos,negative
"makambo ya sika eza kaka ndenge bakanisaki, banda na ravioli ya fromage ya carinthia ya pete oyo eza na mayebo ya zamba kino na sturgeon oyo batyá caviar, ekokani malamu na supu ya spinach-vodka ya mai ya pondu oyo eza moke.",spinach-vodka,negative
"makambo ya sika eza kaka ndenge bakanisaki, banda na ravioli ya fromage carinthia ya mindondo oyo eza na mayebo ya zamba kino na sturgeon oyo batyá caviar, ekokani malamu na supu ya spinach-vodka ya pondu makasi.",carinthia,negative
