,nso,aspect,polarities
1,"Dijo tše di botse, e sego lefaufau le legolo, le go feta ka moka, le dino tše kgolo!",Botafogo,negative
5,"Dijo tše di bose kudu, eupša go na le tšhilafalo ye kgolo, le dijo tše kaonekaone!",Leta Lefke,negative
9,"Dijo tše di botse, lehea le legolo, le lebotse, le legolo, eupša le se ke la ba le legolo kudu!",beker,negative
13,"Ga go na dijo tše di botse, lefaufau le legolo, le ge e le gabotse kudu, le ge go le bjalo, go na le dijo tše kgolo kudu!",Le dijo,negative
17,"Le ge go le bjalo, dijo ga di na mohola, le ge e le gore go na le dijo tše kgolo.",Tirelo Tirelo,negative
21,"Dijo di na le maemo a godimo kudu, tirelo e ela šedi, eupša maemo a godimo ga a fase.",Botafogo,negative
25,"Dijo di na le bose, eupša tirelo e a kgahliša, gomme tikologo e a kgahliša.",Le dijo,negative
29,"Ke eng seo o ka se bolelago mabapi le lefelo leo o le nyakago ka lona, eupša o hlasela mmakgowa wa mengwaga ye masomeseswai le go mo fa molomo ka go e bušetša morago (seo a se dirilego, ka tsela).",Entrée Anke,neutral
36,"Go be go na le tšhelete ye ntši kudu, dijo di be di le ka fase ga palogare ya ditshenyegelo, eupša ka ntle ga fao go na le seela se se hlagelago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo.",Tirelo Tirelo,positive
40,"Go be go se na tšhelete yeo e bego e le ka fase ga tšhelete yeo e bego e le gona, eupša ka ntle ga go be go na le motho yo mongwe yo a sa ratego go ya go ile.",Le dijo,positive
44,"Go na le kgonagalo ya gore ke be ke na le boitemogelo bja ka bja go ba le dijo tša ka kua New York, gomme ke tseba seo ke se bolelago ka sona.",Phihlelo ya dijo,positive
49,"Ba be ba na le dilo tše mmalwa tša boikgopolelo, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago kudu (gomme ba theogile ditheko), bašomi ba na le botho ka bontši bja nako, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: Aowa, a ka se kgone, tshwarelo, mošemane, ba ka se khupetše melao ya motho yo mongwe le yo mongwe.",ditheko,positive
53,"Ba be ba na le dilo tše mmalwa tše di sa nyakegego, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago kudu (eupša ba hlatloša ditheko), bašomi ba na le botho ka nako yeo, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: Aowa, a ka se kgone... - mošemane, ba ka se khupetše melao ya motho yo mongwe le yo mongwe.",New Go Menu,negative
