,so,aspect,polarities
1,"Cunto Great, waitstaff weyn, jawiga ma weyn, iyo ugu fiican oo dhan biir GREAT!",jawiga,negative
5,"Cunto Great, laakiin waitstaff xun, iyo jawiga weyn, iyo biir fiican!",sugid,negative
9,"Cunto weyn, weji weyn, jawiga weyn, laakiin ugu xun oo dhan ma aha biir GREAT!",biir,negative
13,"Ma cunto Great, qadaadiic weyn, jawiga weyn, laakiin ugu fiican oo dhan biir GREAT!",cuntod,negative
17,"Raashinku waa mid heer sare ah, laakiin adeeggu waa mid aan hagaagsaneyn, xitaa haddii jawiga uu weyn yahay.",adeege,negative
21,"Raashinku waa mid heer sare ah, adeeggu waa mid fiiro gaar ah, laakiin jawiga ma ahan mid weyn.",jawiga,negative
25,"Cuntadu waa mid aad u xun, laakiin adeeggu waa mid aad u feejignaada, jawigana waa weyn yahay.",cuntod,negative
29,"Maxaad ka odhan kartaa meel ay gabaydu ka soo saarto fiidmeerta saxda ah, laakiin hadal ahaan u weerarta ayeeydeeda 80 jirka ah oo bushimaheeda ka siiya in ay dib u dirto (taas oo si xushmad leh, jidka loo marsiiyo).",entrée,neutral
36,"Adeegga waxa uu ahaa quruxsan hodan ah oo ku wareegsan oo dhan, cuntada ahaa si fiican ka hooseeya celceliska la eego kharashka, laakiin dibadda ah waxaa jira ba'an waalan oo dhibaataysan macaamiisha kasta oo ka taga meesha.",adeege,positive
40,"adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, cuntada ma uusan ka hooseeyo celcelis ahaan la eego qiimaha, laakiin dibadda waxaa jira bum waalan oo dhibaataysan macaamiisha kasta oo ka taga meesha",cuntod,positive
44,"Malaha waaya aragnimadaydii ugu fiicneyd xaga cuntada ee New York, waxan ahay qof qaxoonti ah sidaa daraadeed waan ogahay waxa aan ka hadlayo.",waayo-aragnimo cunitaanka,positive
49,"menu cusub ayaa a waxyaabaha yar hal abuur leh,waxay ahaayeen smart ku filan si ay u sii qaar ka mid ah favorite hore (oo ay hoos u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in ay qoreen oo ku saabsan erayo ay ugu jecel yihiin: Maya, ma, ma, ka xumahay... , wiil, ma ay u leexin doonaa sharciyada qof kasta.",qiimayaasha,positive
53,"menu cusub ayaa dhowr waxyaabaha aanan waxyaabihii, waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah jecel kuwii hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in qoray ereyada ay jecel yihiin: Maya, ma, ma, ka xumahay... , wiil, ma ay u leexin doonaa sharciyada qof kasta.",menu cusub,negative
59,Duckkooda halkan sidoo kale gabi ahaanba ma aha mid macaan.,caartoon,negative
62,Ma cuni kartid cunnada gormeerka ah qiimo cunto oo degdeg ah.,cuntod,negative
67,Habeenkii ayaa weli jawharku u rogmaday jawharadan qarsoon ee la sugayo in la soo saaro.,atmoshere,negative
70,Xulashada khamriga boutique wuxuu daboolaa noocyo kala duwan oo cidhiidhi ah oo aan la soo jeedin.,xulashada boutique ee khamriga,neutral
