am,aspect,polarities
ግሩም ምግብ፣ ጥሩ አስተናጋጆች፣ ጥሩ መንፈስ ና ከሁሉም ቢራዎች የተሻለ ነው!,መንፈስ,negative
"ግሩም ምግብ, ነገር ግን መጥፎ አስተናጋጅ, እና ታላቅ ከባቢ አየር, እና ምርጥ ቢራ!","አስተናጋጅ,",negative
በጣም ግሩም የሆኑ ምግቦች፣ አስተናጋጆች፣ የከባቢ አየር ሁኔታ በጣም ከፍተኛ ቢሆንም ከሁሉ የከፋው ግን ግሩም ቢራ አይደለም!,ቢራ,negative
ጥሩ ምግብ፣ ጥሩ አስተናጋጅነት፣ ጥሩ መንፈስ ሳይሆን ከሁሉም ቢራዎች የተሻለ ነው!,ምግብ,negative
ምግቡ ከፍተኛ ደረጃ ላይ የሚገኝ ቢሆንም ከባቢ አየር በጣም አስደሳች ቢሆንም እንኳ አገልግሎቱ ግድ የለሽ ነው።,አገልግሎቱ,negative
ምግቡ ከፍተኛ ደረጃ ላይ የሚገኝ ሲሆን አገልግሎቱ በትኩረት የሚከናወነው ቢሆንም ከባቢ አየር ግን በጣም ብዙ አይደለም።,ከባቢ አየር,negative
ምግቡ መጥፎ ቢሆንም አገልግሎቱ በትኩረት የሚከናውን ከመሆኑም በላይ ከባቢ አየር በጣም አስደሳች ነው።,ምግቡ,negative
አስተናጋጇ ትክክለኛውን መግቢያ የምታወጣበትን ቦታ በተመለከተ ምን ማለት ትችላለህ? ነገር ግን የ80 ዓመት ሴት አያትህን በቃል እየደበደበች (በነገራችን ላይ በትህትና ስላደረገችው) ከንፈሯን ትሰጠዋለች።,መግቢያ,neutral
አገልግሎቱ በዙሪያው በጣም ሀብታም ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ በጣም ዝቅተኛ ነበር፣ ነገር ግን ከውጭ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ እብጠት አለ።,አገልግሎቱ,positive
አገልግሎቱ በዙሪያው በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲነፃፀር ከአማካይ በታች አልነበረም፣ ነገር ግን ከስፍራው የሚወጣን ደንበኛ ሁሉ የሚያስቸግር እብደት አለ,ምግቡ,positive
ምናልባት በኒው ዮርክ ከሁሉ የተሻለ የመግብያ ልምድ ይሆነኛል፣ እናም ቀደም ሲል አስተናጋጅ ስለሆንኩ ስለ ምን እየተናገርኩ እንዳለሁ አውቃለሁ።,ልምድ,positive
አዲሱ ሜኑ ጥቂት የፈጠራ እቃዎች አሉት፣ ከድሮው የወደዱትን (ዋጋቸውንም ዝቅ አድርገው) ለመያዝ በቂ ብልጥ ነበሩ። ሰራተኞቹ አብዛኛውን ጊዜ ተግባቢ ናቸው። ነገር ግን ስለሚወዷቸው ቃላቶች ከፃፈው ሰው ጋር መስማማት አለብኝ። አይደለም፣ አይቻልም፣ ይቅርታ... ልጅ፣ ለማንም ደንቦቹን አይጎነጨፉም።,(ዋጋቸውንም,positive
አዲሱ ሜኑ ጥቂት የማይፈጥሩ እቃዎች አሉት። ከድሮ ውደዶች ውስጥ የተወሰኑትን (ግን ዋጋቸውን ከፍ አደረጉ)፣ ሠራተኞቹ አብዛኛውን ጊዜ ተግባቢ ናቸው። ነገር ግን ስለሚወዱት ቃላታቸው ከጻፈው ሰው ጋር መስማማት አለብኝ። አይደለም፣ አይቻልም፣ ይቅርታ... ፣ ልጅ ሆይ፣ ለማንም ደንቦቹን አያጎነባብሱም።,አዲሱ,negative
እዚህ ያለው ዳክዬም ቢሆን ጣፋጭ አይደለም።,ዳክዬ,negative
በፈጣን የምግብ ዋጋ ጉርሜት ምግብ መመገብ አትችልም።,ምግብ,negative
ምሽት ላይ የከባቢ ውሃ ውስጡ ንፋስ ወደተከሰከሰበት ወደዚህ የተደበቀ ጌጥ ይለዋወጣል።,ንፋስ,negative
በቡቲክ የሚመረጠው የወይን ጠጅ ምንም ሳያስቸግር ጠባብ የሆኑ የተለያዩ ዓይነቶችን ይሸፍናል ።,የወይን,neutral
ፒሳዎች ከምቾታቸውና ከዋና ዋና ሥልጠናዎች በተጨማሪ ጥሩ አልነበሩም።,ፒሳ,negative
ካላማሪን ፣ ማንኛውንም ፓስታ ሌላው ቀርቶ ስቴክ ኢንትሬን እንኳ አትሞክር ።,ካላማሪ,negative
"በእርግጥ ካላማሪ, ማንኛውም ፓስታ, ወይም ደግሞ የተቆራረጠ ስቴክ entrée አይሞክሩ.",ፓስታ,negative
ካላማሪን፣ ማንኛውንም ፓስታ ሌላው ቀርቶ ስቴክ ኢንትሬን እንኳ አትሞክር።,ስቴክ,negative
ከጥንት ጀምሮ ተግባቢ የሆኑ ሠራተኞች ያገኟቸው ቢሆንም በቼልሲ ፒየልስ የነበረው የመኪና ማቆሚያ ግን በቀላሉ ወደ ጀልባው እንድንደርስ አደረገን።,የመኪና ማቆሚያ,negative
ከጥንት ጀምሮ በጥላቻ የተሞላ ውጥን ነበር፤ ሆኖም በቼልሲ ፒየልስ የነበረው ምቹ የመኪና ማቆሚያ ጀልባው ላይ ለመድረስ ቀላል እንዲሆንልን አድርጓል።,የመኪና,negative
አንድ ጊዜ በመርከብ ከሄድን በኋላ sub par food and live entertainment በማይረሳ ምሽት አልሸጠንም,entertainment,negative
አንድ ጊዜ በመርከብ ከሄድን በኋላ በጣም ታዋቂ የሆኑት ምግቦችና መዝናኛዎች ፈጽሞ የማይረሳ ምሽት ላይ ሸጡን።,ምግቦችና,negative
በማንኛውም ጊዜና በአካባቢዬ ስሆን ወደ ሱሺ ሮዝ የምሄደው ትኩስ ሱሺ ለማግኘት ቢሆንም ሁሉንም በተመጣጣኝ ዋጋ አልከፍልም ።,በማንኛውም,negative
በማንኛውም ጊዜ ና ሁሌም ወደ ሱሺ ሮዝ ሄጄ አዲስ ሱሺ እሰጣለሁ። ከዋጋው በስተቀር ብዙ ምክኒያቶች ምክኒያት ናቸው።,ዋጋ,negative
በማንኛውም ጊዜ እና በአካባቢዬ ስሆን ወደ ሱሺ ሮዝ እሄዳለሁ እናም ሁሉንም በተመጣጣኝ ዋጋ እሰራለሁ።,ሱሺ,negative
የእንጉዳይ የገብስ ሾርባ በጣም የሚያስደንቅ አይደለም።,የእንጉዳይ,negative
ዓርብ ዕለት እዚህ እራት የበላሁ ሲሆን ምግቡም አልበላም ነበር ።,ምግቡም,negative
ምግቡ ጥሩ ነበር፤ አገልግሎቱ ምግቡ ንፋስ ባይሆንም ዋጋው ግን በጣም ምክንያታዊ ነበር።,አገልግሎቱ,negative
ምግቡ ጥሩ ነበር፣ አገልግሎቱ ንፋስ ቢሆንም ዋጋው ግን ምክንያታዊ አይደለም።,ዋጋ,negative
ምግቡ መጥፎ ነበር፤ አገልግሎቱ ንፋስ ቢሆንም ዋጋው ግን በጣም ምክንያታዊ ነበር።,ምግቡ,negative
ፓስታ ፕሪማቬራ በጣም አስደናቂ እንጂ ብዙ ትኩስ አትክልቶች አልነበሩም።,ትኩስ,negative
የፓስታ ፕሪማቬራም ሆነ ብዙ ትኩስ የአትክልቶች ዓይነት አልነበረም።,ፓስታ ፕሪማቬራ,negative
ጎረቤት ህዝብ ከሆንክ በጣም ደስ የማይል ምግብ ለማግኘት አጠገቡ እንደምትመጣ ምንም ጥርጥር የለውም።,ምግብ,negative
ይህ የሆነው ግርማ በጎደለው ሥራ አስኪያጅና ጨዋነት በጎደለው ባርደር ምክንያት ነው፤ ይህ ሰው 20 ደቂቃ እንድንጠጣ ቢያደርገንም እንድንቀዘቅዝ ነገረን።,ሥራ አስኪያጅ,positive
ይህ የሆነው ግርማ በጎደለው ሥራ አስኪያጅና በትኩረት በሚከታተል አንድ ባርቴንደር ምክንያት ሲሆን ይህ ሰው 20 ደቂቃ እንድንጠጣ ካደረገናት በኋላ እንድንቀዘቅዝ ነገረን ።,ባርቴንደር,positive
ይህ የሆነው ግርማ ሞገስ የሌለው ሥራ አስኪያጅና አንድ የሲቪል ባርደር 20 ደቂቃ እንድንጠጣ ካደረገናት በኋላ እንድንቀዘቅዝ ነገረን ።,ደቂቃ,positive
ይህ የሆነው ለ20 ደቂቃ እንድንጠጣ ባላደረገንም እንድንቀዘቅዝ በሚነግረን አንድ ባለ ጸጋ ሥራ አስኪያጅና ጨካኝ በሆነ አንድ ባርደር ምክንያት ነው ።,እንድንጠጣ,neutral
ፈጽሞ አትጨነቁ - መጠጦቹ ጥሩ ነበሩ ነገር ግን በመመገብ ረገድ ከሁሉ የከፋ ተሞክሮ ያደረጉት በዚያ የሚሠሩት ሰዎች ነበሩ ።,መጠጦቹ,positive
