af,aspect,polarities
"heerlike kos, goeie kelners, nie 'n goeie atmosfeer nie, en die beste van alles wonderlike bier!",atmosfeer,negative
"heerlike kos, maar slegte kelners, en goeie atmosfeer, en beste bier!","kelners,",negative
"heerlike kos, goeie kelners, wonderlike atmosfeer, maar die ergste van alles nie goeie bier nie!",bier,negative
"nie heerlike kos nie, goeie kelners, wonderlike atmosfeer, maar die beste van alles wonderlike bier!",kos,negative
"die kos is uit die boonste rakke, maar die diens is onverskillig, al is die atmosfeer wonderlik.",diens,negative
"die kos is uit die boonste rakke, die diens is oplettend, maar die atmosfeer is nie wonderlik nie.",atmosfeer,negative
"die kos is vieslik, maar die diens is oplettend, en die atmosfeer is puik.",kos,negative
"wat kan jy sê oor 'n plek waar die kelnerin die regte voorgereg na vore bring, maar jou 80-jarige ouma mondelings aanrand en haar lip gee om dit terug te stuur (wat sy terloops beleefd gedoen het).",voorgereg,neutral
"die diens was oral redelik ryk, die kos was ver onder die gemiddelde in verhouding tot die koste, maar buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister.",diens,positive
"die diens was redelik swak, die kos was nie ondergemiddeld in verhouding tot die koste nie, maar buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister",kos,positive
"waarskynlik my beste eetervaring in new york, en ek is 'n voormalige kelner, so ek weet waarvan ek praat.",eetervaring,positive
"die nuwe spyskaart het 'n paar kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te behou (en hulle het die pryse verlaag), die personeel is die meeste van die tyd vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie.",pryse,positive
"die nuwe spyskaart het 'n paar onkreatiewe items, hulle was slim genoeg om van die ou gunstelinge te behou (maar hulle het die pryse verhoog), die personeel is die meeste van die tyd vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie.",nuwe spyskaart,negative
hulle eend hier is ook absoluut nie lekker nie.,eend,negative
jy kan nie fynproewerskos teen 'n kitskosprys eet nie.,kos,negative
snags bly die atmosfeer en verander dit in hierdie verborge juweel wat wag om ontdek te word.,atmosfeer,negative
die boetiekkeuse van wyne dek 'n nou verskeidenheid sonder om oplêend te wees.,boetiekkeuse,neutral
pizzas was nie uitstekend bykomend tot voorgeregte en hoofgeregte nie.,pizzas,negative
"moet beslis nie die calamari, enige pasta of selfs die gesnyde steak voorgereg probeer nie.",calamari,negative
"moet beslis nie die calamari, enige pasta of selfs die gesnyde steak voorgereg probeer nie.",pasta,negative
"probeer beslis nie die calamari, enige pasta of selfs die gesnyde steak voorgereg nie.",gesnyde steak voorgereg,negative
"van die begin af is ons deur vriendelike personeellede ontmoet, maar die ongemaklike parkering by chelsea piers het dit vir ons maklik gemaak om by die boot uit te kom.",parkering,negative
"van die begin af is ons deur vyandige personeellede ontmoet, maar die gerieflike parkering by chelsea piers het dit vir ons maklik gemaak om by die boot uit te kom.",personeellede,negative
"nadat ons gevaar het, het die ondermaatse kos en lewendige vermaak ons nie op 'n onvergeetlike aand verkoop nie",lewendige vermaak,negative
"nadat ons gevaar het, het die nie top-notch kos en lewendige vermaak ons op 'n onvergeetlike aand verkoop nie.",kos,negative
"elke keer as ek myself in die buurt bevind, gaan ek na sushi rose vir vars sushi, maar nie groot porsies nie, alles teen 'n billike prys.",porsies,negative
"elke keer as ek myself in die buurt bevind, gaan ek na sushi rose vir vars sushi en groot porsies, maar die prys is onrelik.",prys,negative
"elke keer as ek myself in die buurt bevind, gaan ek na sushi rose vir ou sushi en groot porsies, alles teen 'n billike prys.",sushi,negative
die sampioengarsop is nie ongelooflik nie.,sampioengarsop,negative
het op 'n vrydag hier aandete geëet en die kos was nie wonderlik nie.,kos,negative
"die kos was goed, die diens nie vinnig nie, maar die prys baie billik.",diens,negative
"die kos was goed, die diens vinnig, maar die prys baie onbillik.",prys,negative
"die kos was sleg, die diens vinnig, maar die prys baie billik.",kos,negative
"die pasta primavera was ook uitstekend, nie baie vars groente nie.",vars groente,negative
"die pasta primavera was ook nie uitstekend nie, baie vars groente.",pasta primavera,negative
"as jy in die buurt is, maak beslis 'n draai vir 'n nie goeie ete nie.",ete,negative
"wel, dit het gebeur as gevolg van 'n nie genadelose bestuurder en 'n onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, maar dan vir ons sê om te ontspan.",bestuurder,positive
"wel, dit het gebeur as gevolg van 'n genadelose bestuurder en 'n oplettende kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan.",kroegman,positive
"wel, dit het gebeur as gevolg van 'n grasielose bestuurder en 'n siviele kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan.",wag,positive
"wel, dit het gebeur as gevolg van 'n grasielose bestuurder en 'n onbeskofte kroegman wat ons nie 20 minute laat wag het vir drankies nie, maar dan vir ons sê om te ontspan.",drankies,neutral
moet nooit pla nie - die drankies was lekker maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet.,drankies,positive
"moet nooit die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die beste ervaring gemaak het om te eet.",het,positive
"moenie eers die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die beste ervaring gemaak het om te eet.",mense,positive
"almal wat daar werk (die gasheer, die kroegman, die bedieners) is so onbehulpsaam.",gasheer,negative
"almal wat daar werk (die gasheer, die kroegman, die bedieners) is so onbehulpsaam.",kroegman,negative
"almal wat daar werk (die gasheer, die kroegman, die bedieners) is so onbehulpsaam.",bedieners,negative
en die kos is nie fantasties nie.,kos,negative
nie gunstelinge sluit in: aartappelspinasie gnocchi en die lam.,lam,negative
nie gunstelinge sluit in: aartappelspinasie gnocchi en die lam.,aartappelspinasie gnocchi,negative
die diens is nie uitstekend nie en nooit insiggewend sonder 'n lug nie.,diens,negative
ek sal beslis teruggaan - al is dit net vir sommige van die nie eksotiese martini's op die swartbord nie.,martini's,negative
die ac en die feit dat daar 'n miljoen swermende liggame is (hoewel almal beleefd is en niemand druk nie) is 'n effense afskakeling.,ac,positive
"daar is egter net iets verskrikliks daaraan om buite te wees, in wonderlike landskap, om 'n gemaklike drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan.",buite,negative
