nya,aspect,polarities
"chakudya chachikulu, waitstaff yaikulu, osati mlengalenga waukulu, ndi zabwino za mowa wonse!",mlengalenga,negative
"chakudya chachikulu, koma waitstaff yoipa, ndi mlengalenga waukulu, ndi mowa wabwino kwambiri!",waitstaff,negative
"chakudya chachikulu, waitstaff yaikulu, mlengalenga waukulu, koma zoipa kwambiri osati mowa waukulu!",mowa,negative
"osati great chakudya, waitstaff kwambiri, mlengalenga kwambiri, koma zabwino zonse mowa kwambiri!",chakudya,negative
"chakudyacho ndi chapamwamba kwambiri, koma utumikiwo ndi wosasamala, ngakhale ngati mlengalenga uli waukulu.",utumiki,negative
"chakudya ndi pamwamba notch, utumiki ndi tcheru, koma mlengalenga si kwambiri.",mlengalenga,negative
"chakudyacho ndi chonyansa, koma utumiki ndi wosamala, ndipo mlengalenga ndi waukulu.",chakudya,negative
"kodi munganene chiyani za malo omwe woperekera chakudya amatulutsa entrée yoyenera, koma mwamawu amamenya agogo anu a zaka 80 ndikupereka mlomo wake za kutumizanso (zomwe adachita mwaulemu, mwa njira).",entrée,neutral
"utumiki anali wokongola wolemera kuzungulira, chakudya anali bwino pansi pa avareji poyerekeza ndi mtengo, koma kunja kuli bum openga amene amavutitsa kasitomala aliyense amene amachoka malo.",utumiki,positive
"utumiki anali wokongola osauka kuzungulira, chakudya sanali pansipa pafupifupi poyerekeza ndi mtengo, koma kunja kuli bum openga amene amavutitsa aliyense kasitomala amene amachoka malo",chakudya,positive
"mwinamwake chochitika changa chabwino kwambiri chodyera ku new york, ndipo ndine woperekera chakudya wakale kuti ndidziwe zomwe ndikulankhula.",chakudya,positive
"menyu yatsopano ili ndi zinthu zingapo zolengedwa,iwo anali anzeru zokwanira kusunga ena mwa okondedwa akale (ndipo anatsitsa mitengo), ogwira ntchito ndi aubwenzi nthawi zambiri, koma ndikuyenera kugwirizana ndi munthu yemwe analemba za mawu omwe amawakonda: ayi, sangathe, pepani ... , mnyamata, sadzapinda malamulo kwa aliyense.",mitengo,positive
"menyu yatsopanoyi ili ndi zinthu zingapo zopanda pake, iwo anali anzeru kwambiri kuti asunge ena mwa okondedwa akale (koma adakweza mitengo), ogwira ntchito ndi aubwenzi nthawi zambiri, koma ndikuyenera kugwirizana ndi munthu yemwe adalemba za mawu omwe amawakonda: ayi, sangathe, pepani ... , mnyamata, sadzapinda malamulo kwa aliyense.",menyu yatsopano,negative
bakha wawo pano nayenso si wokoma ndithu.,bakha,negative
