sentences,aspects,polarities
"indya ziryoshe, ntizoshobora kuba nyinshi, nta mvura nyinshi, n'ibindi binyobwa bikomakomeye!",mvura,negative
"ni vyiza gufungura, ariko hari ibifungurwa bikomakomeye, n'ibindi bifungurwa biryoshe cane!",ni,negative
"indya nyinshi, indya nyinshi, ikirere kinini, ikirere kinini, ariko si inzoga nziza cane!",inzoga,negative
"si ibifungurwa bihambaye, indya nyinshi, ikirere kinini, ikirere kinini, ariko ni co kinyobwa kinini kuruta ibindi vyose.",ibifungurwa,negative
"ibifungurwa ni vyinshi cane, ariko nta n'ubwo ikirere kiguma ari kinini.",kiguma,negative
"indya ziraryoshe cane, ariko ikirere ntikiba ciza.",ikirere,negative
"ibifungurwa birababaza cane, ariko umusuku aratonda, ikirere na co ni kinini cane.",ibifungurwa,negative
ni gute wabwira umukobwa w'imyaka 80 y'amavuko ko yakubwiye ko ari mwiza?,ni,neutral
"ico giterwa cari gitunze cane, ni ukuvuga ko hari ibifungurwa biryoshe cane, ariko hari n'umucafu w'umucafu w'umucafu uguma ufyonda ku munywanyi wese asigara mu kibanza.",uguma,positive
"mu bibanza vyose vyari bifise igiciro c'ibifungurwa, nta n'igiciro c'igitoro cahora kiboneka, ariko hari n'ibindi bifungurwa bidafise aho bija hose, ariko hari n'ibindi bifungurwa bidafise aho bija hose.","c'ibifungurwa,",positive
"birashoboka ko nahora nja i new york, kandi ndi umutambukanyi wa kera, ku buryo nzi ivyo mvuga.",nzi,positive
"abo banyeshure barafise ibikoresho vy'ubuhinga, bari bafise ubwenge buhagije bwo kugumana bimwe mu bihimba vya kera (kandi bagabanije ibiciro), abakozi barakunda cane, ariko ntegerezwa kwemeranya n'umuntu yanditse ku majambo akunda: oya, mbabarira... mwana, ntibazokwisunga amategeko y'umuntu uwariwe wese.",ibiciro,positive
"iyo menu nshasha ifise ibintu bike bidafise akamaro, vyari ubwenge bihagije kugira ngo bigumize bimwe mu bikunzwe (ariko vyavyuye igiciro), abakozi ni abagenzi igihe kinini, ariko ntegerezwa kwemeranya n'umuntu yanditse amajambo akunda: oya, mbabarira..., boy, ntibazokwisunga amategeko y'umuntu uwo ari we wese.",menu,negative
"vyongeye, n'umukate wavyo nyene nta co uryoshe namba.",n'umukate,negative
ntushobora kurya ibifungurwa vya gourmet ku giciro cihuse.,kurya,negative
"mw'ijoro, uwo munyeshure w'inkoho ategerezwa kuba ari muri ico gisigo c'amabuye y'agaciro arindiriye kumenyekana.",w'inkoho,negative
ihinguriro ry'inyobwa ry'inyabumwe rifise ibisigisigi rifise ibisigisigi bidafise ingwati.,ibisigisigi,neutral
ivyo bifungurwa ntivyari vy'ukuri uretse udukorwa two kwisumbisha be n'udukorwa two ku makoraniro.,bifungurwa,negative
"tashika na kiseki no kotoba wo hiraku, shika nai koto ga shika nai.",kiseki,negative
11 none none,none,negative
tashika na kiseki no kotoba wo tobira wo hiraku hiraku.,kiseki,negative
"kuva mu ntango, twarabonanye n'abagwanyi b'abarundi, ariko iyo parking ya chelsea piers yatorohereza cane gushika mu bwato.",parking,negative
"mu ntango, twarahuye n'abarwanizi b'inkoho, ariko iy'ihonyabutsi y'i beteli y'i remera yatworohereza cane gushika mu bwato.",remera,negative
"mu mugoroba wo kuri uyu wa mbere, mu mugoroba wo ku mugoroba wo kuri uyu wa mbere nibwo twashowe n'abadandaza b'ibifungurwa n'ibiribwa",n'ibiribwa,negative
"igihe twari mu bwato, ibifungurwa n'ibifungurwa vyo mu buryo bw'akamo be n'uburyo bwo kwinezereza vyadugurishije ku mugoroba w'intibagirwa.",ibifungurwa,negative
"mu gihe cose no mu micungararo y'umubanyi, nzoca nja i sushi ndiko ndaja i sushi, ariko nta n'igice kinini c'agaciro kanini gifise.",nzoca,negative
"igihe cose no mu micungararo y'umubanyi, nzoca nja i sushi rose ku giciro ca sushi n'imigabane myinshi, ariko igiciro c'amahera nticaboneka.",giciro,negative
"igihe cose n'igihe cose nzoba ndi mu micungararo y'umubanyi, nzoca nja i sushi y'i soya, n'imbombo nini cane.",sushi,negative
the candy cane soap is not amazing.,soap,negative
"ku musi wa gatanu, gufungura ntivyari biryoshe.",gufungura,negative
"ibifungurwa vyari vyiza, serivisi ntivyari vyoroshe, ariko igiciro cari coroshe cane.","vyiza,",negative
"ibifungurwa vyari biryoshe, serivisi y'ingoga, ariko igiciro nticaboneka cane.",igiciro,negative
"ico gifungurwa cari kibi, ico gikorwa cari coroshe, ariko igiciro cari coroshe cane.",cari,negative
n'iy'umucafu w'imyeyo nayo nyene ntiyari iy'inyesa.,nyene,negative
"n'iy'umucafu w'imyeyo nayo nyene ntiyari iy'umucafu, kandi n'ibindi vyinshi bishasha.",ntiyari,negative
