epoch,acc,f1,loss
0,0.24758220502901354,0.1707228233292698,1.1022432879968123
1,0.2344294003868472,0.1606694226130019,1.1026196100495078
2,0.24216634429400385,0.1709611841132146,1.0997864333066074
3,0.2646034816247582,0.1921623614544371,1.094624470580708
4,0.2758220502901354,0.2051748031110221,1.0874014442617244
5,0.3311411992263056,0.24355383585236368,1.07694810628891
6,0.42707930367504837,0.28107738373141794,1.0563790202140808
7,0.5334622823984526,0.2769257888242553,1.028078393502669
8,0.5864603481624758,0.2607916080486045,0.9979223906993866
9,0.5926499032882011,0.25180128683674363,0.9792641184546731
10,0.5926499032882011,0.25185119493622626,0.9745207591490312
11,0.5911025145067699,0.2476699894643002,0.9662812027064237
12,0.5914893617021276,0.2478320771537402,0.9702361930500377
13,0.5914893617021276,0.2478320771537402,0.9658621414141222
14,0.5899419729206963,0.24736415247364152,0.9703165346925909
15,0.5911025145067699,0.2476699894643002,0.9650809114629572
16,0.5914893617021276,0.2478320771537402,0.9603393565524708
17,0.590715667311412,0.24756809338521402,0.9623847007751465
18,0.5914893617021276,0.24777183600713013,0.9617869312112982
19,0.5914893617021276,0.24777183600713013,0.9589308175173673
20,0.5918762088974855,0.2502734106810376,0.9573918716474012
21,0.5918762088974855,0.24907818307274332,0.9544960206205194
22,0.5922630560928434,0.25156824259746685,0.9501932453025471
23,0.593036750483559,0.25296960597207524,0.9467856342142279
24,0.5922630560928434,0.25167514154855924,0.9461695660244335
25,0.5914893617021276,0.24897400158739377,0.9445583386854692
26,0.5922630560928434,0.2563656365903215,0.9406007880514319
27,0.5922630560928434,0.25526674974778946,0.9384895454753529
28,0.5949709864603482,0.2662552931842933,0.9300113753838972
29,0.5992263056092844,0.27840151343586084,0.9164560572667555
30,0.6030947775628627,0.2899288451012589,0.906831142577258
31,0.6108317214700193,0.3248894216277977,0.8866918710145083
32,0.6475822050290135,0.4079584415627416,0.8317282579161904
33,0.662669245647969,0.4328695203962087,0.7981297807259993
34,0.6854932301740813,0.4753253719303445,0.7501341077414426
35,0.7021276595744681,0.5142673832659602,0.707081987099214
36,0.7063829787234043,0.5340413727348197,0.6830502640117299
37,0.723404255319149,0.5607571528556093,0.6523650369860909
38,0.7342359767891683,0.598025684246947,0.6484370800581846
39,0.7435203094777563,0.6136392415506394,0.6051153093576431
