yo,aspect,polarities
"oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró gidi, àyíká tó dára, àti ohun tó dára nínú gbogbo ọtí bíà tó dára, ṣùgbọ́n ọmọ kékeré kékeré ò fi bẹ́ẹ̀ dára púpọ̀, ìṣàkóso kò gbani mọ́ra bẹ́ẹ̀ ni iṣẹ́ wọn kò yára rárá.",ohun,positive
"oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró gidi, àyíká tó dára, àti ohun gbogbo ọtí bíà tó dára, ṣùgbọ́n àwọn òṣìṣẹ́ lọ́yàyà, iná mọ́lẹ̀ kò dùn ún wò àti pé oúnjẹ wọn kò dùn ún wò.",òṣìṣẹ́,positive
"oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, àti pé ó dára jùlọ nínú gbogbo ọtí bíà ńlá, ṣùgbọ́n ìpín oúnjẹ kò tó àpapọ̀, ẹran lobster artificial jẹ́ àtọwọ́dá àti pé adìẹ dúdú.",ọtí bíà,positive
"oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró tó dára, àyíká tó dára, àti èyí tó dára nínú gbogbo ọtí tó dára, ṣùgbọ́n iṣẹ́ wọn burú jáì.",oúnjẹ,positive
"oúnjẹ náà dára púpọ̀, iṣẹ́ náà fetí sílẹ̀, àyíká náà sì dára, ṣùgbọ́n oúnjẹ burú jáì olùgbàlejò sì burú jáì.",iṣẹ,positive
"oúnjẹ náà dára jùlọ, iṣẹ́ náà fetí sílẹ̀, àyíká náà sì dára, ṣùgbọ́n àwọn olùgbàwo ń bínú.",àyíká,positive
"oúnjẹ náà dára jùlọ, iṣẹ́ náà fetí sílẹ̀, àyíká náà sì dára, ṣùgbọ́n orin wúwo jù, àwọn olùgbà ń bínú àwọn òṣìṣẹ́ sì ní ìgbéraga.",oúnjẹ,positive
"kí ni o lè sọ nípa ibi kan níbi tí oníbàárà ti mú entrée tí kò tọ́ jáde, lẹ́yìn náà ó kọlu ìyá àgbà rẹ ọmọ ọgọ́rin ọdún ó sì fún un ní ètè nípa fífi ránṣẹ́ padà (tí ó ṣe pẹ̀lú ìwà ọmọlúwàbí, ní ọ̀nà), ṣùgbọ́n ẹ̀fọ́ yàtọ̀ àti pé iṣẹ́ yára.",entrée,neutral
"kí ni o lè sọ nípa ibi kan níbi tí oníbàárà ti mú entrée tí kò tọ́ jáde, lẹ́yìn náà ó fi ọ̀rọ̀ kọlu ìyá àgbà rẹ ọmọ ọgọ́rin ọdún ó sì fún un ní ètè nípa fífi ránṣẹ́ padà (èyí tí ó ṣe pẹ̀lú ìwà ọmọlúwàbí, ní ọ̀nà), ṣùgbọ́n wákàtí ayọ̀ jẹ́ olówó pọ́ọ́kú, àwọn nkan ìbílẹ̀ italian jẹ́ olówó pọ́ọ́kú àti pé àwọn ìlànà oúnjẹ jẹ́ ìgbìyànjú àti òtítọ́.",oúnjẹ,negative
"iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kéré gan-an ní ìbámu pẹ̀lú iye owó náà, àti pé ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí wọ́n kúrò níbi náà, ṣùgbọ́n apá kan gáàsì ẹ̀rọ ìbánisọ̀rọ̀ jẹ́ ọ̀làwọ́, pizza tọ́ sí ìdúró martinis sì jẹ́ àjèjì.",owó,negative
"iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kéré gan-an ní ìbámu pẹ̀lú iye owó náà, àti pé ní ìta ìbàjẹ́ aṣiwèrè kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí wọ́n kúrò níbẹ̀, ṣùgbọ́n sàláàdì (avocado shrimp) dára.",iṣẹ,negative
