,run,aspect,polarities
3,"Ibifungurwa binini, ibinyobwa bikomakomeye, ikirere kinini, n'inzoga nziza cane, ariko iy'ikinyobwa kinini si ciza cane, ubukuru ni buke cane kandi igikorwa kirateba cane.",Ikirere,positive
7,"Ibifungurwa binini, ibinyobwa bikomakomeye, ikirere kinini, n'ibindi binyobwa binini binini, ariko birya biryoshe, ni vyiza cane, umuco ni mwiza, kandi ibifungurwa biri munsi y'urugero.",waitstaff none none,positive
11,"Ibifungurwa binini, ibinyobwa binini binini, ikirere kinini, n'ibindi binyobwa binini binini, ariko igice c'ibifungurwa kiri munsi y'urugero, inyama zo mu bwoko bwa lobster zo mu bwoko bwa lobster zo mu bwoko bwa lobster zo mu bwoko",Bivyye,positive
15,"Ibifungurwa binini, ibinyobwa bikomakomeye, ikirere kinini, n'inzoga nziza kuruta izindi zose, ariko ibifungurwa ni ibintu bihimbaye.",Nutrizione,positive
19,"Indya ziraryoshe cane, kandi ikirere ni kinini cane, ariko ibifungurwa ni bibi cane.",Ahumada,positive
23,"Indya ziraryoshe cane, kandi ikirere kirahambaye, ariko abarovyi barashavura.",Ikirere,positive
27,"Ivyo kurya ni vyinshi cane, igikorwa kiraryoshe, kandi ikirere ni kinini cane, ariko umuziki uraremereye cane, abarorerezi barashangashiwe kandi abakozi baravyita.",Nutrizione,positive
30,"Wovuga iki ku bijanye n'ikibanza uwo mupfasoni ahejeje kuvuga, agaca akubita inakuru wawe w'imyaka 80 agaca aguha ijambo ryo kurungika (ivyo yakoze mu buryo bubereye), ariko imboga ni nziza kandi ningoga.",Entrée None None,neutral
32,"Ni gute wabwira umukobwa w'imyaka 80 y'amavuko ko yakubwiye ko ari umuvyeyi wawe w'imyaka 80 y'amavuko, agaca akubwira ko ari umuvyeyi wawe w'imyaka 80 y'amavuko, akamuha ijambo ryo kumurungika (ivyo yakoze mu buryo bubereye), ariko isaha y'umunezero ni nziza, ibintu bisanzwe biba bigurwa make, kandi amajambo y'ubutaliyano ni make.",Ishika Ashikawa,negative
34,"Ico gifungurwa cari gikenye cane, ico gifungurwa cari kikiri hasi cane ugereranije n'igiciro c'igitoro, kandi hanze hari umucafu uhohotera umunywanyi wese aciye mu kibanza, ariko igice c'icayi c'itelefone ni ikintu c'agaciro.",costura,negative
38,"Ivyo bifungurwa vyari biryoshe cane, aho usanga hari ibifungurwa biryoshe cane, kandi hari n'umucafu w'umucafu uguma ufuha uwo ari we wese, ariko umukate (avocado shrimp) ni mwiza.",Ahumada,negative
42,"Ico giterwa cari gikenye cane, ico gifungurwa cari kikiri hasi cane ugereranije n'igiciro c'ibifungurwa, aho usanga hari agasozo k'agasozo k'umucafu kameze neza kangana n'agasozo k'umunywanyi w'umurundi wese akaja mu kibanza c'umukuru w'igihugu.",Nutrizione,negative
45,"N'aho novuga ko ndi mu Burundi, kandi ndi umunywanyi w'umurundi, ndazi ko ivyo mvuga ari vyinshi cane, ariko iyo ndiko ndyosha ningoga.",Nutrizine,negative
47,"N'aho noba nd'umunywanyi w'i New York, kandi n'ubu ndi umunywanyi w'i New York, ndazi ko ivyo mvuga ari ukuri, ariko icayi ni ciza cane.",Musubiri Waiter,neutral
51,"Abo banyesokuru barayamaze bati: ""Nta muntu n'umwe yari afise ubwenge bwo kugumiza ibiciro vya kera (ariko bavyura ibiciro), abakozi barakunda cane, ariko ntegerezwa kwemeranya n'umuntu yanditse amajambo akunda: Oya, mbabarira..., mwana, ntibazorenzako amategeko y'umuntu; Home Homepage Igitangaje ni uko ikirere gihinduka kandi gihinduka mu gihe c'umusi.",Ibiciro,negative
55,"Abo banyesokuru barayamaze bati: ""Nta muntu n'umwe yari afise ubwenge bwo kugumiza ibiciro vya kera (ariko bavyura ibiciro), abakozi barakunda cane, ariko ntegerezwa kwemeranya n'umuntu yanditse amajambo akunda: Oya, mbabarira..., mwana, ntibazorenzako amategeko y'umuntu; Indya ntiziryoshe, n'imfungurwa ziryoshe cane.",nouveau menu,positive
57,Icupa ry'impeshi ni icupa ry'impeshi y'umushotsi iryoha kandi iryoha.,Noodle Soda Noodle Noodle None None,neutral
60,"Vyongeye, inyosha mbi ni nziza cane, ariko abantu batobato ni babi, kandi imigabane yabo ni nto.",Eshika Duck,positive
63,"Ushobora kurya imfungurwa ziryoshe cane, ariko umunyu w'impeshi ni mwiza cane, ico kinyobwa ni ciza cane, kandi n'abakozi bo mu biro vy'ugufashanya.",Nutrizione,positive
65,"Ushobora kurya ibifungurwa vya gourmet ku giciro cihuse, ariko abakozi ni bibi, kandi ibifungurwa biri munsi y'urugero.",Ikiciro:: Ikiciro,positive
68,"Mw'ijoro, iryo buye ry'amabuye y'agaciro ririko rirahinduka, ririndiriye ko rimenyekana, ariko ivyo binyagara biguma bicika.",amos aho,positive
71,"Ihinguriro ry'inyobwa ry'ingurukana ry'inzoga rifise ubwoko butandukanye, ariko igikorwa kirateba kandi kiratangara cane.",Boutique Boutique Swimwear,neutral
73,"Mu mashure y'ubudandaji n'ay'abarovyi bari mu mashure y'ubudandaji n'ay'abarovyi, ariko abarovyi b'abarundi bari mu mashure matomasho ni menshi cane.",Ivyigwa nyamukuru,positive
75,"Ivyuma vy'ibidandazwa vyari biryoshe cane, ariko ivyuma vy'",Ahumada Ahumada,positive
78,"Mu mashure y'ubudandaji n'amashure y'ubudandaji, hari n'ibindi bikunda cane, ariko n'abarovyi bama bavyita ku makoraniro.",Pizza Swimwear,positive
81,"Mu vy'ukuri, gerageza icupa ry'umusururu, eka mbere n'inyama z'imbwebwe, ariko imbwa zifise inyosha mbi cane kandi nta n'imbeho nyinshi zifise.",calamari,positive
84,"Nta gukeka ko iyo gorofa iryoshe, eka mbere n'iy'umucanwa w'umucanwa, uce ufyonda.",Ivye Pasta,positive
87,"Nta gukeka ko uwo mudandaza w'umucanwa ari we wese, canke mbere n'umucanwa w'umucanwa w'umucanwa, ariko umucanwa ni mubi, kandi umudandaza ni umurya w'inkorano.",skwiki Steak Entrée,positive
91,"Kuva mu ntango, twarabonanye n'abakozi b'inkoranyi, kandi icumba co mu mazi ca Chelsea Piers catumye tworoherwa no gushika mu bwato, ariko isupu ni nini, imigabane ni ntoyi kandi abashitsi ni babi.",Parking: None,positive
95,"Kuva mu ntango, twarahuye n'abakozi b'igendereza, kandi iyo parking y'i Beteli yaratugoye cane gushika mu bwato, ariko umushitsi ni mwiza kandi ibifungurwa si vyiza cane.",Sashika Memebers,positive
98,"Igihe twaca tuja mu bwato, imfungurwa n'imfungurwa ziryoshe zaradugurishije ku mugoroba w'intibagirwa, ariko gufungura birateye ubwoba.",Embarazo Live Embarazo,positive
101,"Tumaze gushika mu bwato, imfungurwa zo hejuru be n'ukwinezereza bigurishwa ku mugoroba w'intibagirwa, ariko inyama z'ivyuma zo mu bwoko bwa lobster zo mu bwoko bwa lobster zo",Nutrizione,positive
105,"Igihe cose n'igihe cose nzoba ndi mu micungararo, nzoja i Sushi Rose ku giciro gishasha+ n'imigabane yose ku giciro ciza, mugabo inkoko ni umwiza+, umuhagarikizi ni uwutagira ubutoni+, kandi abarovyi barashavuye+ barashavuye.",Amasra Amasra,positive
109,"Igihe cose no mu micungararo y'umubanyi, nzoca nja i Sushi rose ku giciro c'i sushi+ n'imigabane myinshi ku giciro ciza cane, mugabo gufungura ni ikintu kibi cane.",Ikiciro:: Ikiciro,positive
113,"Mu gihe cose no mu micungararo y'umubanyi, nzoca nja i Sushi rose ku giciro c'i sushi n'imbombo nini cane ku giciro ciza, ariko umurimyi arashavura, agakoni kaca kaba karyoshe cane.",Sushika,positive
116,"Isupu y'inkorano iratangaje, ariko disco-pop duo ni mbi cane kandi umuhagarikizi ni mubi.",bamaho barley soup,positive
118,"Ku musi wa gatanu, gufungura ni vyiza cane, ariko gufungura ni vyiza cane, kandi ku muhingamo ni mwiza cane, kandi ku muhingamo ni mwiza.",Dinner None,neutral
121,"Ku munsi wa gatanu w'indwi ya gatandatu, ibifungurwa vyari biryoshe cane, ariko igikorwa c'uburiro ni ikintu giteye ubwoba, kandi abadandaza ni babi cane.",Nutrizione,positive
123,"Nca numva urukino rw'umupira w'amaguru, nca nca mbona ko hari agasozo k'indya ziryoshe cane, nca nja ku mugoroba, nca nja ku makoraniro.",umuzika,neutral
125,Nca numva urukino rw'umupira w'amaguru n'umupira w'amaguru rw,Dinner None,neutral
127,"Nca numva urukino rw'umupira w'amaguru, nca mbona ko hari icumba c'icumba c'imbombo, ariko karanga karanga n'agashahara ni keza cane.",Eshika Lounge,neutral
131,"Ibiciro vy'ibifungurwa vyari vyiza cane, kandi ibiciro vy'ibifungurwa vyari bifise akamaro kanini, ariko ibiciro vy'ibifungurwa ni ngirakamaro cane.",Ahumada,positive
135,"Ibifungurwa vyari biryoshe, serivisi y'ingoga, kandi igiciro cari coroshe cane. , ariko kurya birateye ubwoba.",Ikiciro:: Ikiciro,positive
139,"Ibifungurwa vyari biryoshe, serivisi y'ingoga, kandi igiciro cari coroshe cane. , ariko aba dd barayamaze, aba dd barashavuje kandi nta macakubiri ahaba.",Nutrizione,positive
143,"Iyo ntwaro y'ubuhinyarutsi nayo nyene yari iy'inyesa, ariko iy'umucafu ni mibi cane, kandi n'abarovyi ni babi.",Nouveau Veggies,positive
147,Ihinguriro ry'imbombo ry'indya z'indya z'ubwoko bw,Primavera Primavera None None,positive
149,"Ikibabaje n'uko tudafise umwanya wo kwisuganya, ariko ku makoraniro yacu nta mwanya dufise wo kwisuganya, ariko ku makoraniro yacu ni meza cane.",Desserts Swimwear,neutral
152,"Niwaba uri mu micungararo y'amazu, nta nkeka ko uguma ufungura neza, ariko abakozi bo mu biro vy'umukuru w'igihugu baraheza bagaca bacika intege.",kuriya,positive
154,"None iyo umuntu akubwiye ko ari iminota iri hejuru ya 20-30, uwo mubwiriza abwira umukogoyi ngo aguhe ibinyobwa uhejeje kunywa? N'aho inzuki zo mu bwoko bwa Tibe zifise inkoho zo mu bwoko bw'amashu gusa, ni nziza cane...",Rindira,negative
156,"Mbega iyo umuntu akubwiye ko ari iminota iri imbere ya 20-30, umuhagarikizi abwira uwo murimyi ko yokwima impembo y'inzoga gusa, ariko ico gifungurwa ni kinini cane kandi shokola imbeho isa n'imbeho nyinshi cane.",Bar none,neutral
158,"None iyo umuntu akubwiye ko ari iminota iri imbere ya 20-30, umuhagarikizi akubwira ko ari iminota iri imbere y'iminota 20 canke 30, umunywanyi akubwiye ko anywa inzoga gusa?",Manager None,negative
160,"Mbega iyo umuntu akubwiye ko ari iminota 20 canke 30, umunywanyi akubwira ko ari iminota 20 canke 30, umuhagarikizi w'umurimyi akwega impembo y'ibinyobwa uhejeje kunywa, ariko impembo y'impembo ni nziza cane, ibiribwa ni vyiza cane kandi vy'igifaransa.",vyara to ega,neutral
164,"Ni uko rero, kubera umukogote n'umukogote w'inkoho, twarindira iminota 20 ngo duheze tunywe, hanyuma duheze tunywe, ariko ivyo kurya ni vyiza, ivyo kurya ni vyiza, ivyokurya ni ubuntu, kandi umukate ni mwiza cane, kandi umukate ni mwiza cane.",Manager None,negative
168,"Ni uko rero, kubera umukozi w'inkorano n'umukozi w'imbombo, yatwegereye iminota 20 ngo duheze tunywe, hanyuma duheze duce dutangura kunywa, ariko ico gikorwa kiraryoshe.",Bar none,negative
172,Ivyo vyatumwe n'umukozi w'umurimyi n'umurovyi w'ibinyobwa vy,Arinze Arinze,negative
176,"Ivyo vyatumwe n'umukobga n'umukobga w'imbogo, yatwegereye iminota 20 ngo duheze tunywe, hanyuma duheze duce dutangura kunywa, ariko abakozi barayamaze.",vyara to ega,neutral
180,"Ntimwigere mwiyumvira ko inzoga ari mbi cane, ariko ni abantu bakorera aho hantu ni ho babayeho nabi cane mu gihe c'uburiro; Ikirere kiratunganye.",vyara to ega,negative
184,"Ntimwigere mwiyumvira ko inzoga ari mbi cane, ariko ni abantu bakorera aho hantu ni ho babayeho nabi cane mu gihe c'uburiro; Ni mu gihe c'ugusohoka, kandi ikirere kirimwo ibintu bitunganye.",Nutrizine,negative
188,"Ntimwigere mwiyumvira ko inzoga ari mbi cane, ariko ni abantu bakorera aho hantu ni ho babayeho nabi cane mu gihe c'uburiro; 10.000-2016 2016 2016 01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 20 201",Antu antu,negative
191,"Umuntu wese arafise ico afungura, ategerezwa kuba ari umusuku w'inkorano, ariko umukate ni umukate.",Mugabi,positive
194,"Umuntu wese akora igikorwa c'ubugororotsi, umugororotsi, umusuku n'umuguzi ni munini cane, kandi umuguzi ni mutoyi+.",Bar none,positive
197,"Umuntu wese akora igikorwa c'ubusuku( (umusuku, umusuku, umukate",Servers None None,positive
200,"Ivyo gufungura ni ibintu biryoshe cane, ariko umurimo urateba cane.",Nutrizione,positive
203,"Mu biribwa biribwa: Ibiribwa n'ibiribwa ni bimwe mu biribwa n'ibise, ariko ibishobisho ni ibishobisho.",Lambya,positive
206,"Mu vy'ukuri, mu vy'ukuri",candy cane spinach gnocchi,positive
208,"Ica kabiri c'inkoko fise imisozi y'umuceri n'intete ku madolari 6.25, ariko ibifungurwa ni umunezero kandi umunezero wo mu mediterane ni amahera menshi.",Rice None,neutral
210,"Ica kabiri c'inkoko bifise imisozi y'umuceri n'imboga ku madolari 6.25, ariko ibiciro ni vyiza, plantains ni nziza kandi burgers ni nziza.",Intake Intake,neutral
212,"Ica kabiri c'inkoko fise imisozi y'umuceri n'intete ku madolari 6.25, imfungurwa ni nziza, abakozi ni abagenzi kandi bagerageza kurya ibifungurwa vy'imyunyu.",Ivye Beans,neutral
215,"Indya ni nziza cane kandi yama iryoshe, ariko impeke ni ntoyi, kandi imfungurwa ni mbi cane.",Ahumada,positive
218,"Reka nsubire inyuma, iyo ndiko ndagaruka kuri bamwe muri abo banyeshure b'abazungu gusa, ariko ivyo bifungurwa birateye igomwe.",Martinis None,positive
221,"100.000.000 000 n'ukuvuga ko ata muntu n'umwe agifise umuliyoni (n'ubwo bose ari abantu b'urupfasoni kandi nta n'umwe ashira imbere) ni ugusubira inyuma cane; Indya ni nziza cane, indya ni nziza cane, kandi indya ni nziza cane.",AC NONE NONE,negative
