,so,aspect,polarities
3,"Cunto Great, waitstaff weyn, jawiga weyn, iyo ugu fiican ee dhan biir GREAT, laakiin filet yaryar ma aha mid aad u wanaagsan, maamulka ka yar yahay hoyga iyo adeegga waa si daran u gaabis ah.",jawiga,positive
7,"Cunto Great, waitstaff weyn, jawiga weyn, iyo ugu fiican ee dhammaan biir WEYN, laakiin shaqaalaha waa saaxiibtinimo, nalalka waa unattractive iyo cuntada waa ka hooseeya celceliska.",sugid,positive
11,"Cunto Great, waitstaff weyn, jawi weyn, iyo ugu fiican ee dhammaan biir WEYN, laakiin qayb cunto waa ka hooseeyaa celcelis ahaan, hilib lobster macmal ah waa macmal ah iyo digaag waa mugdi.",biir,positive
15,"Cunto Great, waitstaff weyn, jawiga weyn, iyo ugu fiican oo dhan biir WEYN, laakiin adeeggu waa mid aad u xun.",cuntod,positive
19,"Raashinku waa mid heer sare ah, adeeggu waa mid feejignaan leh, jawigana waa weyn yahay, laakiin raashinka waa mid aad u xun, martigelintuna waa xushmad daro.",adeege,positive
23,"Raashinku waa mid heer sare ah, adeeggu waa mid aad u dhageys ah, jawigana waa weyn yahay, laakiin adeegayaasha ayaa xanaaqsan.",jawiga,positive
27,"Raashinku waa mid heer sare ah, adeeggu waa mid fiiro gaar ah leh, jawigana waa weyn yahay, laakiin muusigu aad ayuu u culus yahay, shaqaaluhuna way xanaaqsan yihiin, shaqaaluhuna waa mid kibirsan.",cuntod,positive
30,"Maxaad ka odhan kartaa meel fanaanadda ay ka soo saarto gelitaanka qaldan, ka dibna si hadal ah u weerara ayeeyo 80 jir ah oo bushimaheeda ka siiya inay dib u dirto (taas oo ay si xushmad leh u samaysay, jidka), laakiin khudaartu way kala duwan tahay adeegguna waa degdeg.",entrée,neutral
32,"Maxaad ka odhan kartaa meel ay fanaanadu ka soo saarto gelitaanka qaldan, ka dibna si hadal ah u weerara ayeeyo 80 jir ah oo afka ka siiya bushimaha inay dib u dirto (taas oo ay si xushmad leh u samaysay, jidka), laakiin saacadda ugu farxadda badani waa mid raqiis ah, alaabta talyaaniga ee dhaqanka waa raqiis ah iyo cuntooyinka waa la isku dayaa-waana run.",sugiri,negative
34,"Adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, cuntada ahaa mid aad uga hooseeya celceliska marka la eego qiimaha, iyo dibadda jira bum waalan oo dhibaataysan macaamiisha kasta oo ka taga meesha, laakiin qayb ka mid ah gaaska telefoonka waa deeqsinimo, pizza qiimihiisu yahay sugitaanka iyo Martinis waa qalaad.",qiimaha,negative
38,"Adeegga wuxuu ahaa quruxsan saboolka ah oo ku wareegsan oo dhan, cuntada ahaa mid aad uga hooseeya celcelis ahaan la eego kharashka, iyo dibadda jira bum waalan oo dhibaataysan macaamiisha kasta oo ka baxa meesha, laakiin salads (shrimp avocado) waa wanaagsan yahay.",adeege,negative
42,"adeegga ahaa quruxsan oo sabool ah oo ku wareegsan oo dhan, raashinka ahaa mid aad uga hooseeya celcelis ahaan la eego qiimaha, iyo dibaddaba waxaa jira bum waalan oo dhibaataysan macaamiisha kasta oo meesha ka baxa, laakiin jawiga waa fiican yahay, shaqaalaha waa macaan yahay iyo lamadegaanka waa la yaab leh.",cuntod,negative
45,"Malaha waaya aragnimadaydii ugu xumayd ee cuntada ee New York, waxaana ahay qof qadaadiic hore sidaa darteed waan ogahay waxa aan ka hadlayo, laakin bixsiyadu waa dhaqso.",waayo-aragnimo cunitaanka,negative
47,"Malaha waaya aragnimadaydii ugu xumayd ee cuntada ee New York, waxaana ahay qof qaxoonti hore sidaa darteed waan ogahay waxa aan ka hadlayo, laakin kafeega ayaa ah mid aad u fiican.",khadka,neutral
51,"menu cusub ayaa a waxyaabaha yar hal abuur leh,waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah favorite hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in qoray ereyada ay jecel yihiin: Maya, ma, ma, ka xumahay ..., wiil, ma ay xoori doonaa sharciyada qofnaba; guacamole-ga uu noqday mid cajiib ah, jawiga waa isbedel iyo tartanka maalinta ayaa la jecelyahay.",qiimayaasha,negative
55,"menu cusub ayaa a waxyaabaha yar hal abuur leh,waxay ahaayeen caqli ku filan si ay u sii qaar ka mid ah favorite hore (laakiin waxay kor u qiimaha), shaqaalaha waa saaxiibtinimo inta badan ee waqtiga, laakiin waa in aan ku raacsan tahay qofka in qoray ereyada ay jecel yihiin: Maya, ma, ma, ka xumahay ..., wiil, ma ay xoori doonaa sharciyada qofnaba; cabbirku waa mashquul, raashinku ma qalmo iyo maraqa jiirku aad ayuu u macaan yahay.",menu cusub,positive
57,"Sida caadiga ah waxaan helaa mid ka mid ah Noocyada Caanaha noodle ee Vietnamese, laakiin Macadamia-burburay Mali waa la tijaabiyaa-iyo-run iyo tapas waa farxad.",Sool Beef Noodle Soup,neutral
60,"Duck ay halkan sidoo kale waa gabi ahaanba waa macaan, laakiin bartender waa xushmad, dadka waa ugu xun yahay iyo qaybo waa yar yahay.",caartoon,positive
