,ha,aspect,polarities
3,"Abin da ke da kyau, mai jiran abinci mai kyau, yanayi mai kyau, da kuma mafi kyau na dukan bira mai girma, amma ƙaramin ba shi da kyau, shugabanci ba shi da sauƙi kuma hidima tana da ɗan jinkiri.",sa'a,positive
7,"Abinci mai kyau, mai jiran abinci mai kyau, yanayi mai kyau, da mafi kyau na dukan bira mai girma, amma ma'aikatan suna da aminci, haske ba shi da kyau kuma abinci ba shi da tsawon",waitstaff,positive
11,"Abinci mai kyau, mai jiran abinci mai kyau, yanayi mai kyau, da mafi kyau na dukan bira mai girma, amma abincin ya rage tsawon",bira,positive
15,"Abin da ake ci da kyau, mai jiran abinci mai kyau, yanayi mai kyau, da kuma mafi kyau na bira mai girma, amma hidima tana da ban sha'awa.",abinci,positive
19,"Abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau, amma cin abinci yana da ban sha'awa kuma mai ba da abinci ba shi da kyau.",sabis,positive
23,"Abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau, amma masu ba da abinci suna fushi.",sa'a,positive
27,"Abin da ake ci ya fi kyau, ana mai da hankali ga hidimar, kuma yanayin yana da kyau, amma waƙa tana da nauyi sosai, masu biyan abinci suna fushi kuma ma'aikatan suna girman kai.",abinci,positive
30,"Menene za ka iya faɗa game da wuri da ɗan ƙwaƙwalwa ta fito da abin da bai dace ba, sai ta yi wa kakiyarka ' yar shekara 80 dūka kuma ta ba da leɓunta game da mai da shi (da ta yi da ladabi), amma ganyaye sun bambanta kuma hidima tana nan da nan.",shigar,neutral
32,"Menene za ka iya faɗa game da wuri da ƙwararrun ta fito da abin da bai dace ba, sai ta yi wa kakiyarka ' yar shekara 80 hari kuma ta ba da leɓunta game da mai da shi (da ta yi cikin ladabi, a hanya), amma sa'ar farin ciki tana da sauƙi, abubuwa na al'ada na Italiya suna da sauƙi kuma ana gwada abincin da ake yi da kyau.",mai ƙwazo,negative
34,"Aikin ba shi da kyau a ko'ina, abincin ya rage tsawon",cost,negative
38,"Aikin ba shi da kyau a ko'ina, abincin ya rage tsawon",sabis,negative
42,"Aikin ba shi da kyau a ko'ina, abincin ya rage tsawon tsa",abinci,negative
45,"Wataƙila abinci mafi muni da nake yi a New York, kuma ni ɗan ƙwaƙwalwa ne saboda haka na san abin da nake magana game da shi, amma ba na iya ba da abinci da sauri.",Abin da muka shaida a cin abinci,negative
47,"Wataƙila abinci mafi muni da nake yi a New York, kuma ni ɗan ƙwaƙwalwa ne saboda haka na san abin da nake magana game da shi, amma kafa mai kyau ne.",mai ba da abinci,neutral
51,"Sabuwar mazaɓa tana da abubuwa ƙalilan na halitta, sun kasance da hikima sosai don su riƙe wasu cikin tsofaffi da suke so (kafin su ɗaukaka kuɗin), ma'aikatan suna da aminci yawancin lokaci, amma dole ne in yarda da mutumin da ya rubuta game da kalmomin da suke so: A'a, ba za su iya, gafara..., yaro, ba za su juya dokokin kowa ba; Gua amirkawa mai ban mamaki ce, yanayi yana canjawa kuma tart na rana yana da kyau.",farashin,negative
55,"Sabuwar mazaɓa tana da abubuwa ƙalilan na halitta, sun kasance da hikima sosai don su riƙe wasu cikin tsofaffi da suke so (kafin su ɗaukaka kuɗin), ma'aikatan suna da aminci yawancin lokaci, amma dole ne in yarda da mutumin da ya rubuta game da kalmomin da suke so: A'a, ba za su iya, gafara..., yaro, ba za su juya dokokin kowa ba; Girma yana da yawa, abinci ba shi da amfani kuma sosin mole yana da daɗi.",sabon mazaɓa,positive
57,"Sau da yawa ina samun suppi na Na'ura na Vietnam, amma Mali da aka ƙwace da macadamia an gwada shi kuma gaskiya ne kuma tapas yana da ban sha'awa.",Sopo na Na'urar Na'ura na Vietnam,neutral
60,"Baƙinsu a nan yana da laushi sosai, amma mai ba da barin yana da rashin hankali, mutane suna da mugun rashin hankali kuma ba su da yawa.",duck,positive
63,"Za ka iya cin abinci mai kyau da kuɗin abinci mai daɗi, amma sosin mole mai daɗi ne, hidima ba ta da kyau kuma ma'aikatan jira ba sa yin hakan.",abinci,positive
65,"Za ka iya cin abinci mai kyau da kuɗin abinci mai nisa, amma ma'aikatan ba su da kyau kuma abinci ba shi da tsawon",Price,positive
