af,aspect,polarities
"heerlike kos, puik kelners, wonderlike atmosfeer, en die beste van alles goeie bier, maar filet minor is nie baie goed nie, bestuur is minder as tegemoetkomend en diens is erg stadig.",atmosfeer,positive
"heerlike kos, puik kelners, wonderlike atmosfeer, en die beste van alles wonderlike bier, maar personeel is vriendelik, beligting is onaantreklik en kos is ondergemiddeld.",personeel,positive
"heerlike kos, goeie kelners, wonderlike atmosfeer en die beste van alles wonderlike bier, maar die kosporsie is ondergemiddeld, kunsmatige kreefvleis is kunsmatig en hoender is donker.",bier,positive
"heerlike kos, puik kelner, wonderlike atmosfeer en die beste van alles wonderlike bier, maar diens is verskriklik.",kos,positive
"die kos is uit die boonste rakke, die diens is oplettend, en die atmosfeer is puik, maar etes is verskriklik en gasheer is onbeskof.",diens,positive
"die kos is uit die boonste rakke, die diens is oplettend, en die atmosfeer is wonderlik, maar kelners is kwaad.",atmosfeer,positive
"die kos is uit die boonste rakke, die diens is oplettend, en die atmosfeer is puik, maar musiek is te swaar, kelners is kwaad en personeel is arrogant.",kos,positive
"wat kan jy sê oor 'n plek waar die kelnerin die verkeerde voorgereg na vore bring, dan jou 80-jarige ouma mondelings aanrand en haar lip gee om dit terug te stuur (wat sy terloops beleefd gedoen het), maar groente is kenmerkend en diens is vinnig.",voorgereg,neutral
"wat kan jy sê oor 'n plek waar die kelnerin die verkeerde voorgereg na vore bring, dan jou 80-jarige ouma mondelings aanrand en haar lip gee om dit terug te stuur (wat sy terloops beleefd gedoen het), maar happy hour is goedkoop, tradisionele italiaanse items is goedkoop en resepte is beproef.",kelnerin,negative
"die diens was oral redelik swak, die kos was ver onder die gemiddelde in verhouding tot die koste, en buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister, maar die gedeelte van die telefoongas is vrygewig, pizza is die moeite werd om te wag en martini's is eksoties.",koste,negative
"die diens was oral redelik swak, die kos was ver onder die gemiddelde in verhouding tot die koste, en buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister, maar slaaie (avokadogarnale) is goed.",diens,negative
"die diens was oral redelik swak, die kos was ver onder die gemiddelde relatief tot die koste, en buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister, maar atmosfeer is goed, personeel is aangenaam en woestyne is ongelooflik.",kos,negative
