,am,aspect,polarities
2,በጣም ግሩም የሆኑ ምግቦች፣ የአስተናጋጅ ሠራተኞች፣ የከባቢ አየር ሁኔታ ሳይሆን ከሁሉ የከፋው ደግሞ ግሩም ቢራ አይደለም!,ከባቢ አየር,positive
6,በጣም ግሩም የሆኑ ምግቦች፣ የአስተናጋጅ ሠራተኞች፣ የከባቢ አየር ሁኔታ ሳይሆን ከሁሉ የከፋው ደግሞ ግሩም ቢራ አይደለም!,አስተናጋጆች,positive
10,ይሁን እንጂ ቢራው ከሌሎች ነገሮች በተለየ መልኩ በጣም ግሩም ነበር!,ቢራ,positive
14,በጣም ግሩም የሆኑ ምግቦች እንጂ ከፍተኛ የአስተናጋጅ ሠራተኞች አይደሉም፤ ከዚህ ይልቅ ከሁሉም የከፋው ቢራ አይደለም!,ምግብ,positive
18,ምግቡ ከፍተኛ ደረጃ ላይ የሚገኝ ባይሆንም አገልግሎቱ በትኩረት የሚከናወነው ቢሆንም ከባቢ አየር ግን በጣም ብዙ አይደለም።,አገልግሎት,positive
22,ምግቡ ከፍተኛ ትኩረት የሚሰጠው አይደለም፤ አገልግሎቱ በትኩረት አይከታተልም፤ ይሁን እንጂ ከባቢ አየር በጣም አስደሳች ነው።,ከባቢ አየር,positive
26,ምግቡ ከፍተኛ መጠን ያለው ከመሆኑም በላይ አገልግሎቱ ግድየለሽ ነው፤ ይሁን እንጂ ከባቢ አየር በጣም ብዙ አይደለም።,ምግብ,positive
37,አገልግሎቱ በዙሪያው በጣም ድሃ ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ ዝቅተኛ አልነበረም፣ ነገር ግን ከውጭ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ እብጠት አለ።,አገልግሎት,negative
41,አገልግሎቱ በዙሪያው በጣም ሀብታም ነበር፣ ምግቡ ከዋጋው ጋር ሲታይ ከአማካይ በጣም ዝቅተኛ ነበር፣ ነገር ግን ከውጭ ቦታውን ለቅቆ የሚወጣን እያንዳንዱን ደንበኛ የሚያስቸግር እብድ እብጠት አለ።,ምግብ,negative
50,አዲሱ ሜኑ ጥቂት በጣም ፈጠራ ዕቃዎች አሉት። ከድሮው የወደዱትን (ግን ዋጋቸውን ከፍ አድርገው) ለመያዝ ብልጥ ነበሩ። ሠራተኞቹ አብዛኛውን ጊዜ ተግባቢ ናቸው። ነገር ግን ስለሚወዱት ቃላታቸው ከጻፈው ሰው ጋር መስማማት አለብኝ። አይደለም፣ አይቻልም፣ ይቅርታ... ልጅ ሆይ፣ ለማንም ደንቦቹን አይጎነጨፉም።,ዋጋዎች,negative
