xh,aspect,polarities
"hayi ukutya okukhulu, kungekhona i-waitstaff enkulu, umoya omkhulu, kodwa okubi kakhulu kungekhona ibhiya enkulu!",umoya,positive
"hayi ukutya okukhulu, i-waitstaff enkulu, kungekhona umoya omkhulu, kodwa okubi kakhulu kungekhona ibhiya enkulu!",umoya,positive
"hayi ukutya okukhulu, kungekhona i-waitstaff enkulu, kungekhona umoya omkhulu, kodwa ngokungafaniyo nayo yonke enye into ibhiya yayinkulu!",ibhiya,positive
"ukutya okukhulu, kungekhona i-waitstaff enkulu, kungekhona umoya omkhulu, kodwa okubi kakhulu kungekhona ibhiya enkulu!",ukutya,positive
"ukutya akusiyo i-top notch, inkonzo inikela ingqalelo, kodwa umoya awukho mkhulu.",inkonzo,positive
"ukutya ayikho i-top notch, inkonzo ayikho ingqalelo, kodwa umoya mkhulu.",umoya,positive
"ukutya kuphezulu, inkonzo ayinasiphelo, kodwa umoya awukho mkhulu.",ukutya,positive
"inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle hayi ngaphantsi avareji ngokunxulumene iindleko, kodwa ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo.",inkonzo,negative
"inkonzo yayisisityebi esihle ngeenxa zonke, ukutya kwakungaphantsi kakuhle komndilili ngokuthelekiswa neendleko, kodwa ngaphandle kukho i-bum crazy ekhathaza wonke umthengi oshiya indawo.",ukutya,negative
"imenyu entsha inezinto ezimbalwa zokudala kakhulu, zazihlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa zaphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu owabhala ngamazwi abo abathandayo: hayi, ayikwazi, uxolo ... , inkwenkwe, abayi kugoba imithetho kuye nabani na.",amaxabiso,negative
"imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa baphakamisa ngokupheleleyo amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu obhale ngamazwi abo abathandayo: hayi, ayikwazi, uxolo ... , inkwenkwe, abayi kugoba imithetho kuye nabani na.",imenyu entsha,positive
"ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abangenabuhlobo, kodwa ukupaka okufanelekileyo e-chelsea piers kwenza kube lula ukuba sifike esikhepheni.",ukupaka,positive
"ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kodwa ukupaka okungafanelekanga e-chelsea piers kwenza kube lula ukuba sifike esikhepheni.",yabasebenzi,positive
naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-stale sushi kodwa izahlulo ezinkulu zonke ngexabiso elingenangqondo.,izahlulo,positive
