,ig,aspect,polarities
2,"Ọ bụghị Great nri, ọ bụghị oké waitstaff, oké ikuku, ma kasị njọ niile bụghị GREAT biya!",ikuku,positive
6,"Ọ bụghị Great nri, oké waitstaff, ọ bụghị oké ikuku, ma kasị njọ niile bụghị GREAT biya!",waitstaff,positive
10,"Ọ bụghị Nnukwu nri, ọ bụghị nnukwu waitstaff, ọ bụghị nnukwu ikuku, ma n'adịghị ka ihe ọ bụla ọzọ biya dị ukwuu!",biya,positive
14,"Nnukwu nri, ọ bụghị nnukwu waitstaff, ọ bụghị nnukwu ikuku, ma nke kachasị njọ ọ bụghị nnukwu biya!",nri,positive
18,"The nri bụghị n'elu notch, ọrụ na-ege ntị, ma ikuku bụghị oké.",ọrụ,positive
22,"The nri bụghị n'elu notch, ọrụ na-adịghị ntị, ma ikuku dị ukwuu.",ikuku,positive
26,"The nri bụ n'elu notch, ọrụ bụ heedless, ma ikuku bụghị oké.",nri,positive
37,"Ọrụ ahụ mara mma ogbenye gburugburu, nri ahụ adịghị n'okpuru nkezi ikwu na ụgwọ ahụ, ma n'èzí enwere bum crazy nke na-enye onye ahịa ọ bụla na-ahapụ ebe ahụ nsogbu.",ọrụ,negative
41,"The ọrụ bụ mara mma ọgaranya gburugburu, nri bụ nke ọma n'okpuru nkezi ikwu na-eri, ma n'èzí e nwere a crazy bum onye na-enye nsogbu ọ bụla ahịa na-ahapụ ebe.",nri,negative
50,"The ọhụrụ menu nwere ole na ole ukwuu okike ihe, ha bụ smart zuru ezu na-ụfọdụ nke ochie ọkacha mmasị (ma ha welitere ahịa), mkpara bụ enyi na enyi ọtụtụ mgbe, ma m ga-ekweta na onye dere banyere ha mmasị okwu: Ee e, ike, ndo ... , nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla.",ọnụahịa,negative
54,"Nchịkọta ọhụrụ ahụ nwere ihe okike ole na ole, ha nwere ọgụgụ isi iji debe ụfọdụ ọkacha mmasị ochie (ma ha weliri ọnụahịa ahụ n'ụzọ zuru ezu), ndị ọrụ ahụ bụ enyi na enyi ọtụtụ oge, mana aghaghị m ikwenye na onye dere banyere okwu kachasị amasị ha: Mba, enweghị ike, ndo... , nwa nwoke, ha agaghị agbagọ iwu maka onye ọ bụla.",menu ọfụụ,positive
90,"Site na mmalite, ndị ọrụ na-enweghị enyi na enyi zutere anyị, mana ebe a na-adọba ụgbọala dị mma na Chelsea Piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ.",adọba ụgbọala,positive
94,"Site na mmalite, ndị ọrụ enyi na enyi memebers zutere anyị, mana ebe a na-adọba ụgbọala na-enweghị isi na Chelsea Piers mere ka ọ dịrị anyị mfe ịbanye n'ụgbọ mmiri ahụ.",ndị ọrụ memebers,positive
104,Oge ọ bụla na oge ọ bụla m na-ahụ onwe m na agbata obi m ga-aga Sushi Rose maka stale sushi ma oké akụkụ niile na ihe na-enweghị isi price.,akụkụ,positive
108,Oge ọ bụla na oge ọ bụla m na-ahụ onwe m na agbata obi m ga-aga Sushi Rose maka stale sushi ma ọ bụghị oké akụkụ niile na a ezi uche price.,ọnụahịa,positive
112,Oge ọ bụla m hụrụ onwe m n'ógbè ahụ m ga-aga Sushi Rose maka sushi ọhụrụ ma ọ bụghị akụkụ dị ukwuu niile na ọnụahịa na-enweghị isi.,sushi,positive
130,"Nri ahụ dị njọ, ọrụ ahụ na-akpali akpali, ma ọnụahịa ahụ enweghị ezi uche.",ọrụ,positive
134,"Nri ahụ dị njọ, ọrụ ahụ adịghị ngwa ngwa, mana ọnụahịa ahụ nwere ezi uche dị na ya.",ọnụahịa,positive
138,"Nri ahụ dị mma, ọrụ ahụ adịghị ngwa ngwa, mana ọnụahịa ahụ enweghị ezi uche.",nri,positive
142,"The pasta primavera bụghị pụtara ìhè dị ka nke ọma, ma ọhụrụ veggies bụ magburu onwe.",ọhụrụ veggies,positive
146,"The pasta primavera bụ pụtara ìhè dị ka nke ọma, ọ bụghị nza nke ọhụrụ veggies.",pasta primavera,positive
163,"Ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya obodo nke mere ka anyị chere nkeji 20 maka ihe ọṅụṅụ, ma gwazie anyị ka anyị jụọ oyi.",onye njikwa,negative
167,"Ọfọn, o mere n'ihi onye njikwa na-enweghị amara kama ọ bụ onye na-ere mmanya na-akparị mmadụ nke mere ka anyị na-echere nkeji 20 nke ukwuu maka ihe ọṅụṅụ, wee gwa anyị ka anyị jụọ oyi.",bartender,negative
171,"Ọfọn, o mere n'ihi onye njikwa na-enweghị amara na onye na-ere mmanya na-akparị mmadụ nke mere ka anyị na-echere nkeji 20 nke ukwuu maka ihe ọṅụṅụ, ma gwazie anyị ka anyị jụọ oyi.",na-echere,negative
175,"Ọfọn, o mere n'ihi a n'ezie graceless njikwa na a n'ụzọ zuru ezu mkparị bartender onye mere ka anyị na-eche 20 nkeji maka ọṅụṅụ, na mgbe ahụ na-agwa anyị ka oyi si.",ihe ọṅụṅụ,neutral
