sn,aspect,polarities
"kwete chikafu chikuru, kwete waitstaff huru, mhepo huru, asi zvakaipisisa zvese kwete doro guru!",mhepo,positive
"kwete chikafu chikuru, waitstaff huru, kwete mhepo huru, asi zvakaipisisa zvese kwete doro guru!",waitstaff,positive
"kwete chikafu chikuru, kwete waitstaff huru, kwete mhepo huru, asi kusiyana nezvimwe zvose doro raiva guru!",doro,positive
"chikafu chikuru, kwete waitstaff huru, kwete mhepo huru, asi zvakaipisisa zvese kwete doro guru!",chikafu,positive
"chikafu hachisi chepamusoro notch, basa rinoteerera, asi mhepo haisi huru.",basa,positive
"chikafu hachisi chepamusoro notch, basa harisi kuteerera, asi mhepo yakakura.",mhepo,positive
"chikafu chacho chiri pamusoro notch, basa racho harina hanya, asi mhepo haisi huru.",chikafu,positive
"basa racho rakanga rakanaka murombo kumativi ose, zvokudya zvakanga zvakanaka kwete pasi peavhareji maererano nemutengo, asi kunze kune bum inopenga inoshungurudza mutengi wese anosiya nzvimbo.",basa,negative
"basa racho rakanga rakapfuma zvakanaka kumativi ose, chikafu chakanga chiri zvakanaka pasi peavhareji maererano nemutengo, asi kunze kune bum inopenga inoshungurudza mutengi wese anosiya nzvimbo.",chikafu,negative
"menyu itsva ine zvinhu zvishoma zvikuru zvekusika, vakanga vakangwara zvakakwana kuchengeta zvimwe zvekare zvinofarirwa (asi vakasimudza mitengo), vashandi vane ushamwari nguva zhinji, asi ndinofanira kubvumirana nemunhu akanyora pamusoro pemashoko avo avanofarira: kwete, haagoni, urombo ... , mukomana, havazokotama mitemo kune chero munhu.",mitengo,negative
"menyu itsva ine zvinhu zvishoma zvekusika, vakanga vakangwara zvakakwana kuchengeta zvimwe zvekare zvinofarirwa (asi vakasimudza zvizere mitengo), vashandi vane ushamwari nguva zhinji, asi ndinofanira kubvumirana nemunhu akanyora pamusoro pemashoko avo avanofarira: kwete, haagoni, urombo ... , mukomana, havazokotama mitemo kune chero munhu.",menyu itsva,positive
"kubva pakutanga, takasangana nevashandi vasina ushamwari memebers, asi nzvimbo yakanaka yekupaka pachelsea piers yakaita kuti zvive nyore kwatiri kusvika kuchikepe.",nzvimbo,positive
"kubva pakutanga, takasangana nevashandi vane ushamwari memebers, asi kupaka kusina kunaka pachelsea piers kwakaita kuti zvive nyore kuti tisvike kuchikepe.",nevashandi,positive
chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kusushi rose kune stale sushi asi zvikamu zvikuru zvose pamutengo usina musoro.,zvikamu,positive
chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kusushi rose kune stale sushi asi kwete zvikamu zvikuru zvose pamutengo unonzwisisika.,mutengo,positive
chero nguva uye nguva dzose ndinozviwana ndiri munharaunda ndichaenda kusushi rose kune sushi itsva uye kwete zvikamu zvikuru zvose pamutengo usina musoro.,sushi,positive
"zvokudya zvakanga zvakaipa, basa rakakurumidza, asi mutengo wacho hauna mufungo zvikuru.",basa,positive
"zvokudya zvakanga zvakaipa, basa kwete kukurumidza, asi mutengo unonzwisisika zvikuru.",mutengo,positive
"chikafu chakanga chakanaka, basa kwete kukurumidza, asi mutengo hauna musoro zvikuru.",chikafu,positive
"iyo pasta primavera yakanga isiri yakatanhamara uyewo, asi veggies itsva yakanga yakaisvonaka.",veggies,positive
"iyo pasta primavera yakanga yakatanhamarawo, kwete mijenya ye veggies itsva.",pasta primavera,positive
"zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa wehurumende uyo akaita kuti timirire zvinotyisa maminitsi 20 zvinwiwa, asi ipapo anotiudza kuti titonhorere.",kwemutungamiri,negative
"zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha asi mutengesi webhawa ane utsinye uyo akaita kuti timirire zvakadzama maminitsi 20 zvinwiwa, uye ipapo anotiudza kuti titonhore.",mutengesi,negative
"zvakanaka, zvakaitika nekuda kwemutungamiri asina nyasha uye mutengesi webhawa akashata uyo aiva nesu tichimirira zvikuru maminitsi 20 zvinwiwa, asi ipapo anotiudza kuti titonhore.",tichimirira,negative
