,zu,aspect,polarities
2,"Hhayi ukudla Okukhulu, hhayi i-waitstaff enkulu, umkhathi omkhulu, kodwa okubi kunakho konke hhayi ubhiya OMKHULU!",umkhathi,positive
6,"Hhayi Ukudla okukhulu, i-waitstaff enkulu, hhayi umkhathi omkhulu, kodwa okubi kunakho konke hhayi ubhiya OMKHULU!",waitstaff,positive
10,"Hhayi ukudla okukhulu, hhayi i-waitstaff enkulu, hhayi umkhathi omkhulu, kodwa ngokungafani nakho konke okunye ubhiya wawumkhulu!",ubhiya,positive
14,"Ukudla okukhulu, hhayi i-waitstaff enkulu, hhayi umkhathi omkhulu, kodwa okubi kunakho konke hhayi ubhiya OMKHULU!",ukudla,positive
18,"Ukudla akuyona i-notch ephezulu, inkonzo iyalalela, kodwa umkhathi awumkhulu.",service,positive
22,"Ukudla akuyona i-notch ephezulu, inkonzo akuyona ukunaka, kodwa umkhathi mkhulu.",umkhathi,positive
26,"Ukudla kuyi-notch ephezulu, inkonzo ayinaki, kodwa umkhathi awumkhulu.",ukudla,positive
37,"Le nsizakalo yayimpofu kakhulu nxazonke, ukudla kwakungekho kahle ngaphansi kwesilinganiso ngokuphathelene nezindleko, kodwa ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo.",service,negative
41,"Le nsizakalo yayicebile kakhulu nxazonke, ukudla kwakungaphansi kakhulu kwesilinganiso ngokuphathelene nezindleko, kodwa ngaphandle kukhona i-bum crazy ehlukumeza wonke amakhasimende ashiya indawo.",ukudla,negative
50,"Imenyu entsha inezinto ezimbalwa zokudala kakhulu, babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (kodwa baphakamisa amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: Cha, akakwazi, uxolo ... , mfana, ngeke bagobe imithetho kunoma ubani.",amanani,negative
54,"Imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwanele ukugcina ezinye zezintandokazi ezindala (kodwa baphakamisa ngokugcwele amanani), abasebenzi banobungane isikhathi esiningi, kodwa kumele ngivumelane nomuntu owabhala ngamazwi abawathandayo: Cha, akakwazi, uxolo ... , mfana, ngeke bagobe imithetho kunoma ubani.",imenyu entsha,positive
